name,rt,correct,target,fixation,fixation_target,first_dot,ISI,NUM,TYPE,Examtype,Target
scc_0,444.0,1,rect_1,"[{'rect_1': 1}, {'circle': 0}]",{'rect_1': 1},rect_1,1000,2,shape,recall,topo
scc_0,492.0,1,ring_1,"[{'ring_1': 0}, {'rect': 0}]",,ring_1,1000,2,shape,recall,topo
scc_0,589.0,1,triangle_1,"[{'rect': 0}, {'triangle_1': 1}]",{'triangle_1': 1},triangle_1,1000,2,shape,recall,topo
scc_0,485.0,1,rect_1,"[{'circle': 0}, {'rect_1': 0}]",,circle,1000,2,shape,recall,topo
scc_0,828.0,1,ring_1,"[{'triangle': 0}, {'ring_1': 1}]",{'ring_1': 1},ring_1,1000,2,shape,recall,topo
scc_0,646.0,1,triangle_1,"[{'triangle_1': 0}, {'rect': 0}]",,triangle_1,1000,2,shape,recall,topo
scc_0,566.0,1,triangle_1,"[{'triangle_1': 0}, {'rect': 0}]",,triangle_1,1000,2,shape,recall,topo
scc_0,525.0,1,rect_1,"[{'rect_1': 7}, {'circle': 0}]",{'rect_1': 7},rect_1,1000,2,shape,recall,topo
scc_0,598.0,1,ring_1,"[{'triangle': 0}, {'ring_1': 0}]",,triangle,1000,2,shape,recall,topo
scc_0,532.0,1,ring_1,"[{'ring_1': 8}, {'rect': 0}]",{'ring_1': 8},ring_1,1000,2,shape,recall,topo
scc_0,637.0,1,rect_1,"[{'circle': 2}, {'rect_1': 1}]",{'rect_1': 1},circle,1000,2,shape,recall,topo
scc_0,564.0,1,triangle_1,"[{'rect': 1}, {'triangle_1': 0}]",,rect,1000,2,shape,recall,topo
shh_0,622.0,1,rect_1,"[{'rect_1': 9}, {'circle': 19}]",{'rect_1': 9},circle,1000,2,shape,recall,topo
shh_0,522.0,0,triangle_1,"[{'triangle_1': 18}, {'circle': 11}]",{'triangle_1': 18},triangle_1,1000,2,shape,recall,topo
shh_0,486.0,1,ring_1,"[{'ring_1': 0}, {'rect': 31}]",,rect,1000,2,shape,recall,topo
shh_0,639.0,1,triangle_1,"[{'rect': 0}, {'triangle_1': 17}]",{'triangle_1': 17},triangle_1,1000,2,shape,recall,topo
shh_0,612.0,1,rect_1,"[{'triangle': 0}, {'rect_1': 29}]",{'rect_1': 29},rect_1,1000,2,shape,recall,topo
shh_0,431.0,1,rect_1,"[{'rect_1': 9}, {'circle': 16}]",{'rect_1': 9},circle,1000,2,shape,recall,topo
shh_0,654.0,1,ring_1,"[{'ring_1': 0}, {'rect': 58}]",,rect,1000,2,shape,recall,topo
shh_0,559.0,1,triangle_1,"[{'rect': 0}, {'triangle_1': 25}]",{'triangle_1': 25},triangle_1,1000,2,shape,recall,topo
shh_0,438.0,1,triangle_1,"[{'triangle_1': 1}, {'circle': 25}]",{'triangle_1': 1},circle,1000,2,shape,recall,topo
shh_0,431.0,1,ring_1,"[{'triangle': 8}, {'ring_1': 16}]",{'ring_1': 16},ring_1,1000,2,shape,recall,topo
shh_0,551.0,1,rect_1,"[{'triangle': 0}, {'rect_1': 23}]",{'rect_1': 23},rect_1,1000,2,shape,recall,topo
syx_0,381.0,1,ring_1,"[{'ring_1': 2}, {'triangle': 0}]",{'ring_1': 2},ring_1,1000,2,shape,recall,topo
syx_0,367.0,1,rect_1,"[{'circle': 6}, {'rect_1': 0}]",,circle,1000,2,shape,recall,topo
syx_0,582.0,1,ring_1,"[{'triangle': 1}, {'ring_1': 4}]",{'ring_1': 4},ring_1,1000,2,shape,recall,topo
syx_0,368.0,1,rect_1,"[{'rect_1': 28}, {'triangle': 15}]",{'rect_1': 28},rect_1,1000,2,shape,recall,topo
syx_0,380.0,1,triangle_1,"[{'triangle_1': 23}, {'circle': 6}]",{'triangle_1': 23},triangle_1,1000,2,shape,recall,topo
syx_0,743.0,1,triangle_1,"[{'rect': 31}, {'triangle_1': 2}]",{'triangle_1': 2},rect,1000,2,shape,recall,topo
syx_0,462.0,1,rect_1,"[{'rect_1': 6}, {'triangle': 15}]",{'rect_1': 6},triangle,1000,2,shape,recall,topo
syx_0,365.0,1,ring_1,"[{'ring_1': 22}, {'triangle': 14}]",{'ring_1': 22},ring_1,1000,2,shape,recall,topo
syx_0,550.0,1,triangle_1,"[{'rect': 2}, {'triangle_1': 0}]",,rect,1000,2,shape,recall,topo
syx_0,776.0,1,rect_1,"[{'circle': 25}, {'rect_1': 8}]",{'rect_1': 8},circle,1000,2,shape,recall,topo
syx_0,728.0,1,ring_1,"[{'triangle': 0}, {'ring_1': 10}]",{'ring_1': 10},ring_1,1000,2,shape,recall,topo
syx_0,557.0,1,triangle_1,"[{'triangle_1': 22}, {'circle': 2}]",{'triangle_1': 22},triangle_1,1000,2,shape,recall,topo
wfy_0,423.0,1,triangle_1,"[{'triangle_1': 5}, {'rect': 0}]",{'triangle_1': 5},triangle_1,1000,2,shape,recall,topo
wfy_0,439.0,1,rect_1,"[{'rect_1': 0}, {'triangle': 0}]",,rect_1,1000,2,shape,recall,topo
wfy_0,467.0,1,triangle_1,"[{'rect': 0}, {'triangle_1': 0}]",,rect,1000,2,shape,recall,topo
wfy_0,407.0,1,ring_1,"[{'ring_1': 0}, {'triangle': 0}]",,ring_1,1000,2,shape,recall,topo
wfy_0,505.0,1,ring_1,"[{'rect': 13}, {'ring_1': 5}]",{'ring_1': 5},rect,1000,2,shape,recall,topo
wfy_0,469.0,1,rect_1,"[{'circle': 0}, {'rect_1': 0}]",,circle,1000,2,shape,recall,topo
wfy_0,408.0,1,triangle_1,"[{'rect': 5}, {'triangle_1': 0}]",,rect,1000,2,shape,recall,topo
wfy_0,436.0,1,ring_1,"[{'rect': 1}, {'ring_1': 0}]",,rect,1000,2,shape,recall,topo
wfy_0,483.0,1,rect_1,"[{'circle': 0}, {'rect_1': 0}]",,circle,1000,2,shape,recall,topo
wfy_0,451.0,1,ring_1,"[{'ring_1': 2}, {'triangle': 11}]",{'ring_1': 2},triangle,1000,2,shape,recall,topo
wfy_0,455.0,1,triangle_1,"[{'triangle_1': 0}, {'rect': 11}]",,rect,1000,2,shape,recall,topo
wfy_0,396.0,1,rect_1,"[{'rect_1': 1}, {'triangle': 0}]",{'rect_1': 1},rect_1,1000,2,shape,recall,topo
何靓雯_0,702.0,1,rect_1,"[{'circle': 14}, {'rect_1': 15}]",{'rect_1': 15},rect_1,1000,2,shape,recall,topo
何靓雯_0,617.0,1,ring_1,"[{'triangle': 8}, {'ring_1': 25}]",{'ring_1': 25},ring_1,1000,2,shape,recall,topo
何靓雯_0,575.0,1,triangle_1,"[{'rect': 10}, {'triangle_1': 26}]",{'triangle_1': 26},triangle_1,1000,2,shape,recall,topo
何靓雯_0,653.0,1,triangle_1,"[{'triangle_1': 18}, {'circle': 17}]",{'triangle_1': 18},triangle_1,1000,2,shape,recall,topo
何靓雯_0,646.0,1,ring_1,"[{'ring_1': 8}, {'rect': 35}]",{'ring_1': 8},rect,1000,2,shape,recall,topo
何靓雯_0,619.0,1,rect_1,"[{'rect_1': 10}, {'circle': 31}]",{'rect_1': 10},circle,1000,2,shape,recall,topo
