name,age,sex,rt,response,answer,stimulus,target,correct,webgazer_data,webgazer_targets_data,canvas_data
lisuya,23,男,,,,,,,,,
,,,515.0,2,5.0,"[""blue"",""green"",""yellow"",""purple""]",red,False,"[{""x"":867,""y"":295,""t"":3},{""x"":892,""y"":349,""t"":45},{""x"":915,""y"":414,""t"":78},{""x"":912,""y"":447,""t"":113},{""x"":879,""y"":480,""t"":146},{""x"":850,""y"":507,""t"":172},{""x"":887,""y"":515,""t"":206},{""x"":918,""y"":520,""t"":239},{""x"":930,""y"":537,""t"":274},{""x"":938,""y"":561,""t"":306},{""x"":890,""y"":555,""t"":353},{""x"":867,""y"":563,""t"":382},{""x"":862,""y"":587,""t"":409},{""x"":826,""y"":625,""t"":448},{""x"":815,""y"":625,""t"":477}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
,,,474.0,6,6.0,"[""blue"",""red"",""purple"",""green""]",purple_1,True,"[{""x"":832,""y"":603,""t"":2},{""x"":859,""y"":585,""t"":44},{""x"":892,""y"":588,""t"":77},{""x"":845,""y"":573,""t"":107},{""x"":889,""y"":584,""t"":139},{""x"":879,""y"":585,""t"":171},{""x"":891,""y"":581,""t"":206},{""x"":902,""y"":578,""t"":240},{""x"":901,""y"":563,""t"":274},{""x"":926,""y"":531,""t"":316},{""x"":936,""y"":528,""t"":344},{""x"":964,""y"":504,""t"":376},{""x"":1022,""y"":506,""t"":423},{""x"":992,""y"":503,""t"":445}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
,,,598.0,5,5.0,"[""purple"",""blue"",""yellow"",""green""]",red_1,True,"[{""x"":986,""y"":487,""t"":3},{""x"":1019,""y"":503,""t"":45},{""x"":1018,""y"":515,""t"":78},{""x"":1019,""y"":498,""t"":110},{""x"":1029,""y"":491,""t"":143},{""x"":1024,""y"":487,""t"":175},{""x"":1022,""y"":484,""t"":208},{""x"":1018,""y"":529,""t"":239},{""x"":1046,""y"":508,""t"":275},{""x"":1070,""y"":490,""t"":307},{""x"":1076,""y"":496,""t"":344},{""x"":1079,""y"":502,""t"":376},{""x"":1017,""y"":495,""t"":410},{""x"":963,""y"":490,""t"":449},{""x"":928,""y"":519,""t"":479},{""x"":860,""y"":535,""t"":512}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
,,,543.0,5,5.0,"[""blue"",""green"",""yellow"",""red""]",purple,True,"[{""x"":923,""y"":549,""t"":2},{""x"":964,""y"":529,""t"":46},{""x"":1004,""y"":504,""t"":77},{""x"":1006,""y"":495,""t"":113},{""x"":1030,""y"":498,""t"":143},{""x"":1028,""y"":503,""t"":172},{""x"":1026,""y"":508,""t"":205},{""x"":1021,""y"":541,""t"":241},{""x"":1015,""y"":553,""t"":273},{""x"":1018,""y"":575,""t"":309},{""x"":1088,""y"":594,""t"":342},{""x"":1097,""y"":597,""t"":375},{""x"":1095,""y"":628,""t"":420},{""x"":1078,""y"":655,""t"":446},{""x"":1099,""y"":688,""t"":479},{""x"":1073,""y"":702,""t"":511}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
,,,429.0,6,6.0,"[""yellow"",""purple"",""green"",""red""]",green,True,"[{""x"":1066,""y"":675,""t"":1},{""x"":1096,""y"":643,""t"":49},{""x"":987,""y"":600,""t"":78},{""x"":1017,""y"":587,""t"":107},{""x"":977,""y"":612,""t"":140},{""x"":912,""y"":591,""t"":172},{""x"":858,""y"":574,""t"":205},{""x"":830,""y"":560,""t"":241},{""x"":809,""y"":548,""t"":273},{""x"":786,""y"":528,""t"":323},{""x"":754,""y"":521,""t"":342},{""x"":776,""y"":514,""t"":376}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
,,,478.0,6,6.0,"[""purple"",""blue"",""yellow"",""green""]",yellow_1,True,"[{""x"":865,""y"":525,""t"":1},{""x"":893,""y"":539,""t"":47},{""x"":920,""y"":548,""t"":69},{""x"":927,""y"":542,""t"":105},{""x"":943,""y"":540,""t"":137},{""x"":955,""y"":547,""t"":172},{""x"":972,""y"":539,""t"":205},{""x"":953,""y"":520,""t"":240},{""x"":969,""y"":503,""t"":274},{""x"":970,""y"":461,""t"":309},{""x"":1019,""y"":466,""t"":355},{""x"":1034,""y"":463,""t"":375},{""x"":1075,""y"":493,""t"":416},{""x"":1110,""y"":520,""t"":449}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
,,,461.0,8,8.0,"[""green"",""yellow"",""blue"",""red""]",yellow,True,"[{""x"":1127,""y"":555,""t"":2},{""x"":1104,""y"":558,""t"":47},{""x"":1116,""y"":529,""t"":81},{""x"":1123,""y"":544,""t"":113},{""x"":1070,""y"":597,""t"":147},{""x"":1040,""y"":625,""t"":178},{""x"":1026,""y"":640,""t"":210},{""x"":1014,""y"":652,""t"":242},{""x"":1039,""y"":643,""t"":274},{""x"":1065,""y"":621,""t"":307},{""x"":1042,""y"":592,""t"":355},{""x"":1023,""y"":567,""t"":376},{""x"":1011,""y"":532,""t"":418}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
,,,491.0,2,2.0,"[""yellow"",""green"",""blue"",""red""]",red_1,True,"[{""x"":980,""y"":486,""t"":2},{""x"":1009,""y"":498,""t"":41},{""x"":1006,""y"":539,""t"":73},{""x"":1003,""y"":575,""t"":103},{""x"":1041,""y"":576,""t"":138},{""x"":1084,""y"":580,""t"":171},{""x"":1102,""y"":563,""t"":207},{""x"":1096,""y"":550,""t"":239},{""x"":1101,""y"":522,""t"":273},{""x"":1136,""y"":522,""t"":309},{""x"":1075,""y"":545,""t"":354},{""x"":1050,""y"":535,""t"":377},{""x"":1038,""y"":526,""t"":417}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
,,,453.0,8,8.0,"[""purple"",""blue"",""green"",""red""]",blue_1,True,"[{""x"":985,""y"":575,""t"":1},{""x"":940,""y"":564,""t"":44},{""x"":951,""y"":585,""t"":78},{""x"":962,""y"":603,""t"":109},{""x"":941,""y"":585,""t"":142},{""x"":950,""y"":585,""t"":174},{""x"":959,""y"":585,""t"":206},{""x"":952,""y"":604,""t"":240},{""x"":947,""y"":607,""t"":273},{""x"":937,""y"":619,""t"":308},{""x"":949,""y"":584,""t"":355},{""x"":947,""y"":554,""t"":382},{""x"":900,""y"":484,""t"":414}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}"
