"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2961","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2969","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6328","0.0-2.0-0.0","","","","","3357","{""name"":""何靓雯"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7776","0.0-2.0-1.0","","","","","1447","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","18453","0.0-3.0","","","","","","","","19","","","","","","","","","","","","","","","","","",""
"","html-button-response","5","19216","0.0-4.0-0.0","","","","","761","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","29437","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","30584","0.0-4.0-2.0","","","","","1147","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","47919","0.0-4.0-3.0","","","","","","","","","","[[{""x"":477,""y"":402,""dx"":-14,""dy"":121,""t"":990},{""x"":490,""y"":410,""dx"":-1,""dy"":129,""t"":1025},{""x"":481,""y"":409,""dx"":-10,""dy"":128,""t"":1059},{""x"":475,""y"":415,""dx"":-16,""dy"":134,""t"":1092},{""x"":470,""y"":420,""dx"":-21,""dy"":139,""t"":1127},{""x"":478,""y"":416,""dx"":-13,""dy"":135,""t"":1159},{""x"":487,""y"":419,""dx"":-4,""dy"":138,""t"":1194},{""x"":491,""y"":417,""dx"":0,""dy"":136,""t"":1229},{""x"":501,""y"":405,""dx"":10,""dy"":124,""t"":1262},{""x"":510,""y"":423,""dx"":19,""dy"":142,""t"":1295},{""x"":546,""y"":442,""dx"":55,""dy"":161,""t"":1330},{""x"":550,""y"":451,""dx"":59,""dy"":170,""t"":1364},{""x"":566,""y"":448,""dx"":75,""dy"":167,""t"":1399},{""x"":570,""y"":465,""dx"":79,""dy"":184,""t"":1432},{""x"":610,""y"":473,""dx"":119,""dy"":192,""t"":1466},{""x"":605,""y"":473,""dx"":114,""dy"":192,""t"":1500},{""x"":613,""y"":483,""dx"":122,""dy"":202,""t"":1534},{""x"":636,""y"":479,""dx"":145,""dy"":198,""t"":1568},{""x"":634,""y"":468,""dx"":143,""dy"":187,""t"":1602},{""x"":614,""y"":458,""dx"":123,""dy"":177,""t"":1636},{""x"":618,""y"":459,""dx"":127,""dy"":178,""t"":1671},{""x"":621,""y"":472,""dx"":130,""dy"":191,""t"":1704},{""x"":622,""y"":466,""dx"":131,""dy"":185,""t"":1738},{""x"":628,""y"":471,""dx"":137,""dy"":190,""t"":1772},{""x"":629,""y"":469,""dx"":138,""dy"":188,""t"":1806},{""x"":638,""y"":472,""dx"":147,""dy"":191,""t"":1840},{""x"":671,""y"":483,""dx"":180,""dy"":202,""t"":1874},{""x"":686,""y"":479,""dx"":195,""dy"":198,""t"":1908},{""x"":697,""y"":478,""dx"":206,""dy"":197,""t"":1942},{""x"":712,""y"":486,""dx"":221,""dy"":205,""t"":1976},{""x"":715,""y"":489,""dx"":224,""dy"":208,""t"":2010},{""x"":697,""y"":493,""dx"":206,""dy"":212,""t"":2043},{""x"":674,""y"":495,""dx"":183,""dy"":214,""t"":2078},{""x"":657,""y"":491,""dx"":166,""dy"":210,""t"":2112},{""x"":643,""y"":494,""dx"":152,""dy"":213,""t"":2145},{""x"":603,""y"":485,""dx"":112,""dy"":204,""t"":2180},{""x"":569,""y"":477,""dx"":78,""dy"":196,""t"":2212},{""x"":558,""y"":475,""dx"":67,""dy"":194,""t"":2248},{""x"":581,""y"":483,""dx"":90,""dy"":202,""t"":2282},{""x"":581,""y"":482,""dx"":90,""dy"":201,""t"":2316},{""x"":616,""y"":473,""dx"":125,""dy"":192,""t"":2350},{""x"":606,""y"":466,""dx"":115,""dy"":185,""t"":2385},{""x"":604,""y"":464,""dx"":113,""dy"":183,""t"":2419},{""x"":597,""y"":462,""dx"":106,""dy"":181,""t"":2453},{""x"":610,""y"":470,""dx"":119,""dy"":189,""t"":2485},{""x"":609,""y"":483,""dx"":118,""dy"":202,""t"":2520},{""x"":611,""y"":493,""dx"":120,""dy"":212,""t"":2554},{""x"":623,""y"":497,""dx"":132,""dy"":216,""t"":2587},{""x"":622,""y"":503,""dx"":131,""dy"":222,""t"":2623},{""x"":617,""y"":503,""dx"":126,""dy"":222,""t"":2656},{""x"":614,""y"":490,""dx"":123,""dy"":209,""t"":2690},{""x"":610,""y"":491,""dx"":119,""dy"":210,""t"":2725},{""x"":612,""y"":493,""dx"":121,""dy"":212,""t"":2758},{""x"":584,""y"":479,""dx"":93,""dy"":198,""t"":2792},{""x"":577,""y"":466,""dx"":86,""dy"":185,""t"":2826},{""x"":560,""y"":456,""dx"":69,""dy"":175,""t"":2860},{""x"":574,""y"":468,""dx"":83,""dy"":187,""t"":2894},{""x"":596,""y"":474,""dx"":105,""dy"":193,""t"":2927},{""x"":577,""y"":451,""dx"":86,""dy"":170,""t"":2961}],[{""x"":1380,""y"":376,""dx"":-71,""dy"":95,""t"":4016},{""x"":1366,""y"":373,""dx"":-85,""dy"":92,""t"":4050},{""x"":1343,""y"":370,""dx"":-108,""dy"":89,""t"":4083},{""x"":1349,""y"":359,""dx"":-102,""dy"":78,""t"":4119},{""x"":1340,""y"":351,""dx"":-111,""dy"":70,""t"":4152},{""x"":1331,""y"":345,""dx"":-120,""dy"":64,""t"":4184},{""x"":1329,""y"":352,""dx"":-122,""dy"":71,""t"":4220},{""x"":1327,""y"":361,""dx"":-124,""dy"":80,""t"":4254},{""x"":1333,""y"":373,""dx"":-118,""dy"":92,""t"":4289},{""x"":1325,""y"":386,""dx"":-126,""dy"":105,""t"":4322},{""x"":1360,""y"":390,""dx"":-91,""dy"":109,""t"":4356},{""x"":1370,""y"":393,""dx"":-81,""dy"":112,""t"":4390},{""x"":1395,""y"":377,""dx"":-56,""dy"":96,""t"":4424},{""x"":1413,""y"":376,""dx"":-38,""dy"":95,""t"":4458},{""x"":1448,""y"":375,""dx"":-3,""dy"":94,""t"":4492},{""x"":1458,""y"":367,""dx"":7,""dy"":86,""t"":4525},{""x"":1465,""y"":359,""dx"":14,""dy"":78,""t"":4560},{""x"":1477,""y"":362,""dx"":26,""dy"":81,""t"":4594},{""x"":1475,""y"":350,""dx"":24,""dy"":69,""t"":4628},{""x"":1452,""y"":396,""dx"":1,""dy"":115,""t"":4661},{""x"":1412,""y"":418,""dx"":-39,""dy"":137,""t"":4695},{""x"":1424,""y"":404,""dx"":-27,""dy"":123,""t"":4730},{""x"":1395,""y"":426,""dx"":-56,""dy"":145,""t"":4764},{""x"":1433,""y"":424,""dx"":-18,""dy"":143,""t"":4799},{""x"":1396,""y"":429,""dx"":-55,""dy"":148,""t"":4832},{""x"":1365,""y"":438,""dx"":-86,""dy"":157,""t"":4866},{""x"":1353,""y"":455,""dx"":-98,""dy"":174,""t"":4901},{""x"":1368,""y"":413,""dx"":-83,""dy"":132,""t"":4934},{""x"":1369,""y"":428,""dx"":-82,""dy"":147,""t"":4968},{""x"":1332,""y"":451,""dx"":-119,""dy"":170,""t"":5003},{""x"":1340,""y"":450,""dx"":-111,""dy"":169,""t"":5037},{""x"":1317,""y"":450,""dx"":-134,""dy"":169,""t"":5070},{""x"":1345,""y"":431,""dx"":-106,""dy"":150,""t"":5104},{""x"":1371,""y"":421,""dx"":-80,""dy"":140,""t"":5138},{""x"":1396,""y"":414,""dx"":-55,""dy"":133,""t"":5172},{""x"":1404,""y"":408,""dx"":-47,""dy"":127,""t"":5205},{""x"":1425,""y"":399,""dx"":-26,""dy"":118,""t"":5240},{""x"":1425,""y"":377,""dx"":-26,""dy"":96,""t"":5274},{""x"":1442,""y"":365,""dx"":-9,""dy"":84,""t"":5307},{""x"":1413,""y"":385,""dx"":-38,""dy"":104,""t"":5342},{""x"":1377,""y"":403,""dx"":-74,""dy"":122,""t"":5374},{""x"":1355,""y"":414,""dx"":-96,""dy"":133,""t"":5410},{""x"":1355,""y"":407,""dx"":-96,""dy"":126,""t"":5443},{""x"":1342,""y"":413,""dx"":-109,""dy"":132,""t"":5478},{""x"":1363,""y"":434,""dx"":-88,""dy"":153,""t"":5512},{""x"":1349,""y"":448,""dx"":-102,""dy"":167,""t"":5545},{""x"":1329,""y"":461,""dx"":-122,""dy"":180,""t"":5580},{""x"":1311,""y"":479,""dx"":-140,""dy"":198,""t"":5614},{""x"":1335,""y"":463,""dx"":-116,""dy"":182,""t"":5649},{""x"":1340,""y"":468,""dx"":-111,""dy"":187,""t"":5682},{""x"":1338,""y"":475,""dx"":-113,""dy"":194,""t"":5716},{""x"":1336,""y"":498,""dx"":-115,""dy"":217,""t"":5751},{""x"":1335,""y"":516,""dx"":-116,""dy"":235,""t"":5781},{""x"":1334,""y"":499,""dx"":-117,""dy"":218,""t"":5818},{""x"":1329,""y"":499,""dx"":-122,""dy"":218,""t"":5852},{""x"":1318,""y"":494,""dx"":-133,""dy"":213,""t"":5885},{""x"":1318,""y"":484,""dx"":-133,""dy"":203,""t"":5920},{""x"":1311,""y"":484,""dx"":-140,""dy"":203,""t"":5954},{""x"":1311,""y"":473,""dx"":-140,""dy"":192,""t"":5987}],[{""x"":932,""y"":572,""dx"":-39,""dy"":21,""t"":7008},{""x"":930,""y"":557,""dx"":-41,""dy"":6,""t"":7042},{""x"":951,""y"":571,""dx"":-20,""dy"":20,""t"":7075},{""x"":931,""y"":574,""dx"":-40,""dy"":23,""t"":7111},{""x"":914,""y"":581,""dx"":-57,""dy"":30,""t"":7144},{""x"":905,""y"":593,""dx"":-66,""dy"":42,""t"":7178},{""x"":916,""y"":578,""dx"":-55,""dy"":27,""t"":7211},{""x"":929,""y"":579,""dx"":-42,""dy"":28,""t"":7245},{""x"":933,""y"":583,""dx"":-38,""dy"":32,""t"":7280},{""x"":925,""y"":577,""dx"":-46,""dy"":26,""t"":7314},{""x"":919,""y"":572,""dx"":-52,""dy"":21,""t"":7346},{""x"":924,""y"":578,""dx"":-47,""dy"":27,""t"":7382},{""x"":928,""y"":569,""dx"":-43,""dy"":18,""t"":7416},{""x"":929,""y"":566,""dx"":-42,""dy"":15,""t"":7450},{""x"":939,""y"":568,""dx"":-32,""dy"":17,""t"":7483},{""x"":937,""y"":586,""dx"":-34,""dy"":35,""t"":7519},{""x"":946,""y"":585,""dx"":-25,""dy"":34,""t"":7553},{""x"":959,""y"":592,""dx"":-12,""dy"":41,""t"":7585},{""x"":953,""y"":596,""dx"":-18,""dy"":45,""t"":7620},{""x"":961,""y"":600,""dx"":-10,""dy"":49,""t"":7654},{""x"":960,""y"":601,""dx"":-11,""dy"":50,""t"":7688},{""x"":949,""y"":610,""dx"":-22,""dy"":59,""t"":7736},{""x"":946,""y"":611,""dx"":-25,""dy"":60,""t"":7776},{""x"":944,""y"":608,""dx"":-27,""dy"":57,""t"":7799},{""x"":944,""y"":603,""dx"":-27,""dy"":52,""t"":7824},{""x"":947,""y"":615,""dx"":-24,""dy"":64,""t"":7858},{""x"":941,""y"":618,""dx"":-30,""dy"":67,""t"":7892},{""x"":935,""y"":622,""dx"":-36,""dy"":71,""t"":7927},{""x"":924,""y"":617,""dx"":-47,""dy"":66,""t"":7959},{""x"":921,""y"":612,""dx"":-50,""dy"":61,""t"":7994},{""x"":903,""y"":601,""dx"":-68,""dy"":50,""t"":8028},{""x"":916,""y"":592,""dx"":-55,""dy"":41,""t"":8062},{""x"":928,""y"":600,""dx"":-43,""dy"":49,""t"":8095},{""x"":928,""y"":604,""dx"":-43,""dy"":53,""t"":8130},{""x"":922,""y"":607,""dx"":-49,""dy"":56,""t"":8164},{""x"":915,""y"":603,""dx"":-56,""dy"":52,""t"":8198},{""x"":913,""y"":601,""dx"":-58,""dy"":50,""t"":8232},{""x"":922,""y"":606,""dx"":-49,""dy"":55,""t"":8266},{""x"":928,""y"":608,""dx"":-43,""dy"":57,""t"":8300},{""x"":932,""y"":610,""dx"":-39,""dy"":59,""t"":8334},{""x"":943,""y"":605,""dx"":-28,""dy"":54,""t"":8368},{""x"":961,""y"":598,""dx"":-10,""dy"":47,""t"":8402},{""x"":970,""y"":620,""dx"":-1,""dy"":69,""t"":8436},{""x"":947,""y"":619,""dx"":-24,""dy"":68,""t"":8471},{""x"":953,""y"":622,""dx"":-18,""dy"":71,""t"":8504},{""x"":968,""y"":620,""dx"":-3,""dy"":69,""t"":8538},{""x"":976,""y"":625,""dx"":5,""dy"":74,""t"":8572},{""x"":954,""y"":621,""dx"":-17,""dy"":70,""t"":8606},{""x"":969,""y"":628,""dx"":-2,""dy"":77,""t"":8640},{""x"":967,""y"":626,""dx"":-4,""dy"":75,""t"":8674},{""x"":964,""y"":616,""dx"":-7,""dy"":65,""t"":8707},{""x"":978,""y"":609,""dx"":7,""dy"":58,""t"":8742},{""x"":963,""y"":608,""dx"":-8,""dy"":57,""t"":8776},{""x"":944,""y"":611,""dx"":-27,""dy"":60,""t"":8810},{""x"":928,""y"":618,""dx"":-43,""dy"":67,""t"":8844},{""x"":919,""y"":628,""dx"":-52,""dy"":77,""t"":8879},{""x"":912,""y"":636,""dx"":-59,""dy"":85,""t"":8910},{""x"":908,""y"":646,""dx"":-63,""dy"":95,""t"":8945},{""x"":912,""y"":656,""dx"":-59,""dy"":105,""t"":8980}],[{""x"":742,""y"":779,""dx"":251,""dy"":-42,""t"":10033},{""x"":694,""y"":786,""dx"":203,""dy"":-35,""t"":10068},{""x"":655,""y"":781,""dx"":164,""dy"":-40,""t"":10102},{""x"":610,""y"":784,""dx"":119,""dy"":-37,""t"":10136},{""x"":624,""y"":772,""dx"":133,""dy"":-49,""t"":10170},{""x"":583,""y"":780,""dx"":92,""dy"":-41,""t"":10204},{""x"":548,""y"":775,""dx"":57,""dy"":-46,""t"":10238},{""x"":537,""y"":764,""dx"":46,""dy"":-57,""t"":10272},{""x"":535,""y"":763,""dx"":44,""dy"":-58,""t"":10306},{""x"":558,""y"":764,""dx"":67,""dy"":-57,""t"":10340},{""x"":554,""y"":758,""dx"":63,""dy"":-63,""t"":10375},{""x"":545,""y"":772,""dx"":54,""dy"":-49,""t"":10408},{""x"":578,""y"":766,""dx"":87,""dy"":-55,""t"":10442},{""x"":629,""y"":753,""dx"":138,""dy"":-68,""t"":10476},{""x"":619,""y"":745,""dx"":128,""dy"":-76,""t"":10510},{""x"":705,""y"":739,""dx"":214,""dy"":-82,""t"":10543},{""x"":691,""y"":745,""dx"":200,""dy"":-76,""t"":10578},{""x"":684,""y"":748,""dx"":193,""dy"":-73,""t"":10612},{""x"":653,""y"":741,""dx"":162,""dy"":-80,""t"":10645},{""x"":635,""y"":752,""dx"":144,""dy"":-69,""t"":10680},{""x"":673,""y"":744,""dx"":182,""dy"":-77,""t"":10714},{""x"":641,""y"":765,""dx"":150,""dy"":-56,""t"":10747},{""x"":660,""y"":757,""dx"":169,""dy"":-64,""t"":10781},{""x"":671,""y"":762,""dx"":180,""dy"":-59,""t"":10817},{""x"":625,""y"":780,""dx"":134,""dy"":-41,""t"":10850},{""x"":626,""y"":786,""dx"":135,""dy"":-35,""t"":10884},{""x"":584,""y"":797,""dx"":93,""dy"":-24,""t"":10917},{""x"":641,""y"":789,""dx"":150,""dy"":-32,""t"":10952},{""x"":687,""y"":786,""dx"":196,""dy"":-35,""t"":10987},{""x"":680,""y"":787,""dx"":189,""dy"":-34,""t"":11021},{""x"":723,""y"":771,""dx"":232,""dy"":-50,""t"":11055},{""x"":758,""y"":765,""dx"":267,""dy"":-56,""t"":11088},{""x"":793,""y"":747,""dx"":302,""dy"":-74,""t"":11122},{""x"":767,""y"":747,""dx"":276,""dy"":-74,""t"":11155},{""x"":710,""y"":764,""dx"":219,""dy"":-57,""t"":11190},{""x"":727,""y"":751,""dx"":236,""dy"":-70,""t"":11224},{""x"":749,""y"":755,""dx"":258,""dy"":-66,""t"":11258},{""x"":732,""y"":757,""dx"":241,""dy"":-64,""t"":11291},{""x"":761,""y"":754,""dx"":270,""dy"":-67,""t"":11327},{""x"":786,""y"":747,""dx"":295,""dy"":-74,""t"":11360},{""x"":787,""y"":745,""dx"":296,""dy"":-76,""t"":11393},{""x"":784,""y"":741,""dx"":293,""dy"":-80,""t"":11429},{""x"":785,""y"":735,""dx"":294,""dy"":-86,""t"":11462},{""x"":794,""y"":735,""dx"":303,""dy"":-86,""t"":11495},{""x"":813,""y"":736,""dx"":322,""dy"":-85,""t"":11531},{""x"":816,""y"":741,""dx"":325,""dy"":-80,""t"":11564},{""x"":774,""y"":759,""dx"":283,""dy"":-62,""t"":11598},{""x"":782,""y"":757,""dx"":291,""dy"":-64,""t"":11632},{""x"":767,""y"":772,""dx"":276,""dy"":-49,""t"":11666},{""x"":763,""y"":790,""dx"":272,""dy"":-31,""t"":11699},{""x"":769,""y"":778,""dx"":278,""dy"":-43,""t"":11734},{""x"":779,""y"":766,""dx"":288,""dy"":-55,""t"":11768},{""x"":799,""y"":765,""dx"":308,""dy"":-56,""t"":11802},{""x"":786,""y"":756,""dx"":295,""dy"":-65,""t"":11836},{""x"":779,""y"":774,""dx"":288,""dy"":-47,""t"":11870},{""x"":784,""y"":769,""dx"":293,""dy"":-52,""t"":11904},{""x"":788,""y"":780,""dx"":297,""dy"":-41,""t"":11938},{""x"":789,""y"":769,""dx"":298,""dy"":-52,""t"":11972},{""x"":781,""y"":784,""dx"":290,""dy"":-37,""t"":12005}],[{""x"":1307,""y"":729,""dx"":-144,""dy"":-92,""t"":13026},{""x"":1304,""y"":719,""dx"":-147,""dy"":-102,""t"":13060},{""x"":1281,""y"":710,""dx"":-170,""dy"":-111,""t"":13094},{""x"":1262,""y"":715,""dx"":-189,""dy"":-106,""t"":13128},{""x"":1249,""y"":718,""dx"":-202,""dy"":-103,""t"":13162},{""x"":1250,""y"":729,""dx"":-201,""dy"":-92,""t"":13195},{""x"":1271,""y"":725,""dx"":-180,""dy"":-96,""t"":13231},{""x"":1257,""y"":736,""dx"":-194,""dy"":-85,""t"":13264},{""x"":1258,""y"":736,""dx"":-193,""dy"":-85,""t"":13298},{""x"":1259,""y"":735,""dx"":-192,""dy"":-86,""t"":13332},{""x"":1259,""y"":736,""dx"":-192,""dy"":-85,""t"":13366},{""x"":1264,""y"":742,""dx"":-187,""dy"":-79,""t"":13400},{""x"":1274,""y"":742,""dx"":-177,""dy"":-79,""t"":13434},{""x"":1284,""y"":749,""dx"":-167,""dy"":-72,""t"":13467},{""x"":1303,""y"":754,""dx"":-148,""dy"":-67,""t"":13501},{""x"":1295,""y"":746,""dx"":-156,""dy"":-75,""t"":13536},{""x"":1301,""y"":742,""dx"":-150,""dy"":-79,""t"":13570},{""x"":1315,""y"":753,""dx"":-136,""dy"":-68,""t"":13604},{""x"":1316,""y"":749,""dx"":-135,""dy"":-72,""t"":13638},{""x"":1314,""y"":725,""dx"":-137,""dy"":-96,""t"":13673},{""x"":1313,""y"":716,""dx"":-138,""dy"":-105,""t"":13706},{""x"":1304,""y"":733,""dx"":-147,""dy"":-88,""t"":13740},{""x"":1284,""y"":731,""dx"":-167,""dy"":-90,""t"":13774},{""x"":1279,""y"":731,""dx"":-172,""dy"":-90,""t"":13808},{""x"":1271,""y"":727,""dx"":-180,""dy"":-94,""t"":13841},{""x"":1284,""y"":740,""dx"":-167,""dy"":-81,""t"":13877},{""x"":1294,""y"":735,""dx"":-157,""dy"":-86,""t"":13911},{""x"":1297,""y"":730,""dx"":-154,""dy"":-91,""t"":13944},{""x"":1294,""y"":745,""dx"":-157,""dy"":-76,""t"":13978},{""x"":1297,""y"":741,""dx"":-154,""dy"":-80,""t"":14012},{""x"":1290,""y"":756,""dx"":-161,""dy"":-65,""t"":14045},{""x"":1289,""y"":755,""dx"":-162,""dy"":-66,""t"":14078},{""x"":1299,""y"":769,""dx"":-152,""dy"":-52,""t"":14114},{""x"":1287,""y"":778,""dx"":-164,""dy"":-43,""t"":14148},{""x"":1277,""y"":781,""dx"":-174,""dy"":-40,""t"":14182},{""x"":1297,""y"":760,""dx"":-154,""dy"":-61,""t"":14216},{""x"":1288,""y"":749,""dx"":-163,""dy"":-72,""t"":14250},{""x"":1304,""y"":757,""dx"":-147,""dy"":-64,""t"":14284},{""x"":1305,""y"":746,""dx"":-146,""dy"":-75,""t"":14318},{""x"":1324,""y"":730,""dx"":-127,""dy"":-91,""t"":14352},{""x"":1330,""y"":730,""dx"":-121,""dy"":-91,""t"":14386},{""x"":1354,""y"":720,""dx"":-97,""dy"":-101,""t"":14421},{""x"":1347,""y"":711,""dx"":-104,""dy"":-110,""t"":14454},{""x"":1324,""y"":723,""dx"":-127,""dy"":-98,""t"":14486},{""x"":1339,""y"":712,""dx"":-112,""dy"":-109,""t"":14522},{""x"":1336,""y"":712,""dx"":-115,""dy"":-109,""t"":14556},{""x"":1329,""y"":706,""dx"":-122,""dy"":-115,""t"":14590},{""x"":1339,""y"":689,""dx"":-112,""dy"":-132,""t"":14625},{""x"":1342,""y"":691,""dx"":-109,""dy"":-130,""t"":14658},{""x"":1346,""y"":688,""dx"":-105,""dy"":-133,""t"":14691},{""x"":1334,""y"":689,""dx"":-117,""dy"":-132,""t"":14726},{""x"":1342,""y"":695,""dx"":-109,""dy"":-126,""t"":14760},{""x"":1335,""y"":699,""dx"":-116,""dy"":-122,""t"":14794},{""x"":1332,""y"":694,""dx"":-119,""dy"":-127,""t"":14828},{""x"":1328,""y"":693,""dx"":-123,""dy"":-128,""t"":14862},{""x"":1307,""y"":705,""dx"":-144,""dy"":-116,""t"":14896},{""x"":1287,""y"":711,""dx"":-164,""dy"":-110,""t"":14929},{""x"":1277,""y"":719,""dx"":-174,""dy"":-102,""t"":14964},{""x"":1282,""y"":709,""dx"":-169,""dy"":-112,""t"":14998},{""x"":1295,""y"":723,""dx"":-156,""dy"":-98,""t"":15032}]]","[25.423728813559322,72.88135593220339,100,42.3728813559322,78.33333333333333]","[{""x"":102.61016949152543,""y"":184.3728813559322,""r"":34.892612372269404},{""x"":-80.71186440677967,""y"":135.76271186440678,""r"":57.52305659162925},{""x"":-33.45762711864407,""y"":51.33898305084746,""r"":24.57887186707258},{""x"":208.864406779661,""y"":-57.779661016949156,""r"":76.7218119332063},{""x"":-150.91666666666666,""y"":-92.35,""r"":43.184323282313876}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","","",""
"","html-button-response","9","48496","0.0-4.0-4.0-0.0-0.0","","","","","576","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","",""
