"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","5094","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","5101","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","9299","0.0-2.0-0.0","","","","","4193","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","14729","0.0-2.0-1.0","","","","","5429","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","20922","0.0-3.0","","","","","","","","2252","","","","","","","","","","","","","","","","","",""
"","html-button-response","5","23297","0.0-4.0-0.0","","","","","2373","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","41973","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","45440","0.0-4.0-2.0","","","","","3467","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","63193","0.0-4.0-3.0","","","","","","","","","","[[{""x"":642,""y"":144,""dx"":151,""dy"":-137,""t"":991},{""x"":635,""y"":140,""dx"":144,""dy"":-141,""t"":1024},{""x"":679,""y"":175,""dx"":188,""dy"":-106,""t"":1057},{""x"":689,""y"":200,""dx"":198,""dy"":-81,""t"":1092},{""x"":700,""y"":219,""dx"":209,""dy"":-62,""t"":1127},{""x"":692,""y"":208,""dx"":201,""dy"":-73,""t"":1160},{""x"":648,""y"":214,""dx"":157,""dy"":-67,""t"":1194},{""x"":601,""y"":209,""dx"":110,""dy"":-72,""t"":1227},{""x"":610,""y"":199,""dx"":119,""dy"":-82,""t"":1262},{""x"":604,""y"":177,""dx"":113,""dy"":-104,""t"":1296},{""x"":622,""y"":162,""dx"":131,""dy"":-119,""t"":1330},{""x"":600,""y"":180,""dx"":109,""dy"":-101,""t"":1364},{""x"":592,""y"":198,""dx"":101,""dy"":-83,""t"":1398},{""x"":614,""y"":196,""dx"":123,""dy"":-85,""t"":1432},{""x"":621,""y"":195,""dx"":130,""dy"":-86,""t"":1466},{""x"":617,""y"":189,""dx"":126,""dy"":-92,""t"":1500},{""x"":633,""y"":205,""dx"":142,""dy"":-76,""t"":1535},{""x"":674,""y"":217,""dx"":183,""dy"":-64,""t"":1567},{""x"":700,""y"":237,""dx"":209,""dy"":-44,""t"":1602},{""x"":725,""y"":241,""dx"":234,""dy"":-40,""t"":1637},{""x"":736,""y"":247,""dx"":245,""dy"":-34,""t"":1670},{""x"":741,""y"":246,""dx"":250,""dy"":-35,""t"":1705},{""x"":734,""y"":241,""dx"":243,""dy"":-40,""t"":1738},{""x"":719,""y"":247,""dx"":228,""dy"":-34,""t"":1771},{""x"":715,""y"":254,""dx"":224,""dy"":-27,""t"":1807},{""x"":688,""y"":248,""dx"":197,""dy"":-33,""t"":1840},{""x"":664,""y"":242,""dx"":173,""dy"":-39,""t"":1872},{""x"":632,""y"":239,""dx"":141,""dy"":-42,""t"":1908},{""x"":603,""y"":240,""dx"":112,""dy"":-41,""t"":1942},{""x"":578,""y"":230,""dx"":87,""dy"":-51,""t"":1977},{""x"":571,""y"":235,""dx"":80,""dy"":-46,""t"":2009},{""x"":543,""y"":225,""dx"":52,""dy"":-56,""t"":2044},{""x"":532,""y"":228,""dx"":41,""dy"":-53,""t"":2078},{""x"":544,""y"":211,""dx"":53,""dy"":-70,""t"":2111},{""x"":547,""y"":202,""dx"":56,""dy"":-79,""t"":2146},{""x"":567,""y"":210,""dx"":76,""dy"":-71,""t"":2180},{""x"":584,""y"":211,""dx"":93,""dy"":-70,""t"":2214},{""x"":563,""y"":207,""dx"":72,""dy"":-74,""t"":2248},{""x"":545,""y"":204,""dx"":54,""dy"":-77,""t"":2279},{""x"":560,""y"":202,""dx"":69,""dy"":-79,""t"":2316},{""x"":559,""y"":214,""dx"":68,""dy"":-67,""t"":2350},{""x"":577,""y"":205,""dx"":86,""dy"":-76,""t"":2384},{""x"":634,""y"":190,""dx"":143,""dy"":-91,""t"":2418},{""x"":685,""y"":184,""dx"":194,""dy"":-97,""t"":2452},{""x"":727,""y"":204,""dx"":236,""dy"":-77,""t"":2486},{""x"":759,""y"":216,""dx"":268,""dy"":-65,""t"":2520},{""x"":822,""y"":229,""dx"":331,""dy"":-52,""t"":2554},{""x"":880,""y"":257,""dx"":389,""dy"":-24,""t"":2588},{""x"":902,""y"":271,""dx"":411,""dy"":-10,""t"":2621},{""x"":897,""y"":293,""dx"":406,""dy"":12,""t"":2657},{""x"":903,""y"":297,""dx"":412,""dy"":16,""t"":2690},{""x"":903,""y"":296,""dx"":412,""dy"":15,""t"":2724},{""x"":859,""y"":271,""dx"":368,""dy"":-10,""t"":2758},{""x"":773,""y"":271,""dx"":282,""dy"":-10,""t"":2792},{""x"":733,""y"":233,""dx"":242,""dy"":-48,""t"":2826},{""x"":683,""y"":231,""dx"":192,""dy"":-50,""t"":2860},{""x"":649,""y"":217,""dx"":158,""dy"":-64,""t"":2893},{""x"":653,""y"":207,""dx"":162,""dy"":-74,""t"":2928},{""x"":695,""y"":218,""dx"":204,""dy"":-63,""t"":2962},{""x"":724,""y"":240,""dx"":233,""dy"":-41,""t"":2995}],[{""x"":1672,""y"":364,""dx"":221,""dy"":83,""t"":4016},{""x"":1653,""y"":343,""dx"":202,""dy"":62,""t"":4050},{""x"":1635,""y"":368,""dx"":184,""dy"":87,""t"":4084},{""x"":1621,""y"":335,""dx"":170,""dy"":54,""t"":4119},{""x"":1617,""y"":330,""dx"":166,""dy"":49,""t"":4153},{""x"":1617,""y"":334,""dx"":166,""dy"":53,""t"":4186},{""x"":1611,""y"":324,""dx"":160,""dy"":43,""t"":4221},{""x"":1593,""y"":293,""dx"":142,""dy"":12,""t"":4254},{""x"":1603,""y"":266,""dx"":152,""dy"":-15,""t"":4288},{""x"":1604,""y"":294,""dx"":153,""dy"":13,""t"":4321},{""x"":1577,""y"":254,""dx"":126,""dy"":-27,""t"":4356},{""x"":1567,""y"":226,""dx"":116,""dy"":-55,""t"":4390},{""x"":1554,""y"":242,""dx"":103,""dy"":-39,""t"":4424},{""x"":1528,""y"":213,""dx"":77,""dy"":-68,""t"":4458},{""x"":1518,""y"":193,""dx"":67,""dy"":-88,""t"":4492},{""x"":1503,""y"":184,""dx"":52,""dy"":-97,""t"":4526},{""x"":1506,""y"":186,""dx"":55,""dy"":-95,""t"":4559},{""x"":1525,""y"":193,""dx"":74,""dy"":-88,""t"":4593},{""x"":1544,""y"":202,""dx"":93,""dy"":-79,""t"":4628},{""x"":1555,""y"":200,""dx"":104,""dy"":-81,""t"":4663},{""x"":1564,""y"":197,""dx"":113,""dy"":-84,""t"":4696},{""x"":1585,""y"":191,""dx"":134,""dy"":-90,""t"":4730},{""x"":1581,""y"":196,""dx"":130,""dy"":-85,""t"":4764},{""x"":1579,""y"":211,""dx"":128,""dy"":-70,""t"":4798},{""x"":1566,""y"":258,""dx"":115,""dy"":-23,""t"":4862},{""x"":1554,""y"":299,""dx"":103,""dy"":18,""t"":4869},{""x"":1562,""y"":291,""dx"":111,""dy"":10,""t"":4901},{""x"":1552,""y"":336,""dx"":101,""dy"":55,""t"":4934},{""x"":1522,""y"":321,""dx"":71,""dy"":40,""t"":4968},{""x"":1531,""y"":319,""dx"":80,""dy"":38,""t"":5002},{""x"":1539,""y"":316,""dx"":88,""dy"":35,""t"":5033},{""x"":1563,""y"":308,""dx"":112,""dy"":27,""t"":5070},{""x"":1573,""y"":294,""dx"":122,""dy"":13,""t"":5104},{""x"":1549,""y"":291,""dx"":98,""dy"":10,""t"":5138},{""x"":1565,""y"":266,""dx"":114,""dy"":-15,""t"":5172},{""x"":1566,""y"":268,""dx"":115,""dy"":-13,""t"":5207},{""x"":1564,""y"":267,""dx"":113,""dy"":-14,""t"":5240},{""x"":1547,""y"":265,""dx"":96,""dy"":-16,""t"":5273},{""x"":1530,""y"":262,""dx"":79,""dy"":-19,""t"":5308},{""x"":1512,""y"":251,""dx"":61,""dy"":-30,""t"":5343},{""x"":1484,""y"":241,""dx"":33,""dy"":-40,""t"":5376},{""x"":1508,""y"":227,""dx"":57,""dy"":-54,""t"":5410},{""x"":1506,""y"":222,""dx"":55,""dy"":-59,""t"":5442},{""x"":1524,""y"":220,""dx"":73,""dy"":-61,""t"":5477},{""x"":1525,""y"":234,""dx"":74,""dy"":-47,""t"":5512},{""x"":1529,""y"":244,""dx"":78,""dy"":-37,""t"":5546},{""x"":1503,""y"":285,""dx"":52,""dy"":4,""t"":5581},{""x"":1513,""y"":278,""dx"":62,""dy"":-3,""t"":5614},{""x"":1519,""y"":252,""dx"":68,""dy"":-29,""t"":5648},{""x"":1503,""y"":248,""dx"":52,""dy"":-33,""t"":5683},{""x"":1532,""y"":245,""dx"":81,""dy"":-36,""t"":5716},{""x"":1565,""y"":264,""dx"":114,""dy"":-17,""t"":5750},{""x"":1573,""y"":269,""dx"":122,""dy"":-12,""t"":5785},{""x"":1578,""y"":284,""dx"":127,""dy"":3,""t"":5818},{""x"":1559,""y"":281,""dx"":108,""dy"":0,""t"":5853},{""x"":1569,""y"":293,""dx"":118,""dy"":12,""t"":5886},{""x"":1590,""y"":293,""dx"":139,""dy"":12,""t"":5920},{""x"":1618,""y"":270,""dx"":167,""dy"":-11,""t"":5955},{""x"":1626,""y"":247,""dx"":175,""dy"":-34,""t"":5988}],[{""x"":1231,""y"":284,""dx"":260,""dy"":-267,""t"":7041},{""x"":1237,""y"":273,""dx"":266,""dy"":-278,""t"":7076},{""x"":1224,""y"":268,""dx"":253,""dy"":-283,""t"":7109},{""x"":1230,""y"":282,""dx"":259,""dy"":-269,""t"":7144},{""x"":1222,""y"":316,""dx"":251,""dy"":-235,""t"":7177},{""x"":1210,""y"":326,""dx"":239,""dy"":-225,""t"":7212},{""x"":1203,""y"":334,""dx"":232,""dy"":-217,""t"":7246},{""x"":1222,""y"":341,""dx"":251,""dy"":-210,""t"":7280},{""x"":1216,""y"":351,""dx"":245,""dy"":-200,""t"":7314},{""x"":1222,""y"":380,""dx"":251,""dy"":-171,""t"":7348},{""x"":1242,""y"":382,""dx"":271,""dy"":-169,""t"":7382},{""x"":1228,""y"":402,""dx"":257,""dy"":-149,""t"":7416},{""x"":1233,""y"":392,""dx"":262,""dy"":-159,""t"":7447},{""x"":1223,""y"":371,""dx"":252,""dy"":-180,""t"":7483},{""x"":1208,""y"":393,""dx"":237,""dy"":-158,""t"":7519},{""x"":1218,""y"":372,""dx"":247,""dy"":-179,""t"":7552},{""x"":1234,""y"":366,""dx"":263,""dy"":-185,""t"":7585},{""x"":1225,""y"":389,""dx"":254,""dy"":-162,""t"":7620},{""x"":1215,""y"":369,""dx"":244,""dy"":-182,""t"":7654},{""x"":1222,""y"":357,""dx"":251,""dy"":-194,""t"":7688},{""x"":1209,""y"":382,""dx"":238,""dy"":-169,""t"":7721},{""x"":1195,""y"":382,""dx"":224,""dy"":-169,""t"":7755},{""x"":1201,""y"":386,""dx"":230,""dy"":-165,""t"":7790},{""x"":1197,""y"":377,""dx"":226,""dy"":-174,""t"":7825},{""x"":1202,""y"":392,""dx"":231,""dy"":-159,""t"":7858},{""x"":1185,""y"":370,""dx"":214,""dy"":-181,""t"":7891},{""x"":1195,""y"":411,""dx"":224,""dy"":-140,""t"":7926},{""x"":1165,""y"":409,""dx"":194,""dy"":-142,""t"":7961},{""x"":1169,""y"":438,""dx"":198,""dy"":-113,""t"":7993},{""x"":1157,""y"":452,""dx"":186,""dy"":-99,""t"":8027},{""x"":1170,""y"":449,""dx"":199,""dy"":-102,""t"":8062},{""x"":1163,""y"":445,""dx"":192,""dy"":-106,""t"":8096},{""x"":1139,""y"":444,""dx"":168,""dy"":-107,""t"":8129},{""x"":1151,""y"":420,""dx"":180,""dy"":-131,""t"":8163},{""x"":1114,""y"":446,""dx"":143,""dy"":-105,""t"":8199},{""x"":1134,""y"":431,""dx"":163,""dy"":-120,""t"":8231},{""x"":1162,""y"":433,""dx"":191,""dy"":-118,""t"":8266},{""x"":1145,""y"":466,""dx"":174,""dy"":-85,""t"":8300},{""x"":1150,""y"":454,""dx"":179,""dy"":-97,""t"":8334},{""x"":1167,""y"":463,""dx"":196,""dy"":-88,""t"":8367},{""x"":1163,""y"":525,""dx"":192,""dy"":-26,""t"":8401},{""x"":1156,""y"":503,""dx"":185,""dy"":-48,""t"":8436},{""x"":1171,""y"":498,""dx"":200,""dy"":-53,""t"":8470},{""x"":1193,""y"":482,""dx"":222,""dy"":-69,""t"":8505},{""x"":1183,""y"":491,""dx"":212,""dy"":-60,""t"":8538},{""x"":1201,""y"":458,""dx"":230,""dy"":-93,""t"":8572},{""x"":1208,""y"":453,""dx"":237,""dy"":-98,""t"":8604},{""x"":1185,""y"":440,""dx"":214,""dy"":-111,""t"":8640},{""x"":1164,""y"":444,""dx"":193,""dy"":-107,""t"":8674},{""x"":1170,""y"":425,""dx"":199,""dy"":-126,""t"":8708},{""x"":1161,""y"":459,""dx"":190,""dy"":-92,""t"":8742},{""x"":1161,""y"":488,""dx"":190,""dy"":-63,""t"":8776},{""x"":1178,""y"":513,""dx"":207,""dy"":-38,""t"":8810},{""x"":1200,""y"":543,""dx"":229,""dy"":-8,""t"":8844},{""x"":1205,""y"":573,""dx"":234,""dy"":22,""t"":8878},{""x"":1165,""y"":642,""dx"":194,""dy"":91,""t"":8913},{""x"":1149,""y"":618,""dx"":178,""dy"":67,""t"":8947},{""x"":1165,""y"":638,""dx"":194,""dy"":87,""t"":8979},{""x"":1180,""y"":654,""dx"":209,""dy"":103,""t"":9012}],[{""x"":813,""y"":1058,""dx"":322,""dy"":237,""t"":10068},{""x"":771,""y"":1054,""dx"":280,""dy"":233,""t"":10101},{""x"":734,""y"":1056,""dx"":243,""dy"":235,""t"":10136},{""x"":685,""y"":999,""dx"":194,""dy"":178,""t"":10169},{""x"":624,""y"":943,""dx"":133,""dy"":122,""t"":10204},{""x"":603,""y"":959,""dx"":112,""dy"":138,""t"":10237},{""x"":571,""y"":893,""dx"":80,""dy"":72,""t"":10272},{""x"":616,""y"":898,""dx"":125,""dy"":77,""t"":10307},{""x"":645,""y"":899,""dx"":154,""dy"":78,""t"":10341},{""x"":629,""y"":884,""dx"":138,""dy"":63,""t"":10373},{""x"":611,""y"":873,""dx"":120,""dy"":52,""t"":10408},{""x"":703,""y"":902,""dx"":212,""dy"":81,""t"":10442},{""x"":753,""y"":881,""dx"":262,""dy"":60,""t"":10476},{""x"":814,""y"":911,""dx"":323,""dy"":90,""t"":10510},{""x"":847,""y"":918,""dx"":356,""dy"":97,""t"":10544},{""x"":886,""y"":948,""dx"":395,""dy"":127,""t"":10578},{""x"":918,""y"":973,""dx"":427,""dy"":152,""t"":10610},{""x"":930,""y"":1000,""dx"":439,""dy"":179,""t"":10647},{""x"":916,""y"":964,""dx"":425,""dy"":143,""t"":10681},{""x"":912,""y"":968,""dx"":421,""dy"":147,""t"":10714},{""x"":922,""y"":983,""dx"":431,""dy"":162,""t"":10748},{""x"":923,""y"":990,""dx"":432,""dy"":169,""t"":10782},{""x"":922,""y"":994,""dx"":431,""dy"":173,""t"":10816},{""x"":913,""y"":1004,""dx"":422,""dy"":183,""t"":10850},{""x"":935,""y"":995,""dx"":444,""dy"":174,""t"":10883},{""x"":961,""y"":1004,""dx"":470,""dy"":183,""t"":10919},{""x"":988,""y"":1003,""dx"":497,""dy"":182,""t"":10952},{""x"":971,""y"":1016,""dx"":480,""dy"":195,""t"":10986},{""x"":968,""y"":1025,""dx"":477,""dy"":204,""t"":11020},{""x"":959,""y"":1034,""dx"":468,""dy"":213,""t"":11054},{""x"":943,""y"":1047,""dx"":452,""dy"":226,""t"":11088},{""x"":922,""y"":1050,""dx"":431,""dy"":229,""t"":11122},{""x"":887,""y"":1063,""dx"":396,""dy"":242,""t"":11155},{""x"":855,""y"":1072,""dx"":364,""dy"":251,""t"":11189},{""x"":830,""y"":1075,""dx"":339,""dy"":254,""t"":11224},{""x"":765,""y"":1023,""dx"":274,""dy"":202,""t"":11258},{""x"":756,""y"":1045,""dx"":265,""dy"":224,""t"":11291},{""x"":753,""y"":1060,""dx"":262,""dy"":239,""t"":11325},{""x"":723,""y"":1014,""dx"":232,""dy"":193,""t"":11360},{""x"":726,""y"":1042,""dx"":235,""dy"":221,""t"":11394},{""x"":742,""y"":1056,""dx"":251,""dy"":235,""t"":11429},{""x"":765,""y"":1074,""dx"":274,""dy"":253,""t"":11462},{""x"":780,""y"":1088,""dx"":289,""dy"":267,""t"":11496},{""x"":785,""y"":1096,""dx"":294,""dy"":275,""t"":11529},{""x"":782,""y"":1097,""dx"":291,""dy"":276,""t"":11564},{""x"":791,""y"":1105,""dx"":300,""dy"":284,""t"":11598},{""x"":798,""y"":1093,""dx"":307,""dy"":272,""t"":11633},{""x"":793,""y"":1069,""dx"":302,""dy"":248,""t"":11667},{""x"":836,""y"":1001,""dx"":345,""dy"":180,""t"":11700},{""x"":872,""y"":934,""dx"":381,""dy"":113,""t"":11734},{""x"":855,""y"":948,""dx"":364,""dy"":127,""t"":11768},{""x"":872,""y"":899,""dx"":381,""dy"":78,""t"":11802},{""x"":881,""y"":867,""dx"":390,""dy"":46,""t"":11836},{""x"":923,""y"":838,""dx"":432,""dy"":17,""t"":11870},{""x"":927,""y"":834,""dx"":436,""dy"":13,""t"":11904},{""x"":965,""y"":821,""dx"":474,""dy"":0,""t"":11938},{""x"":959,""y"":813,""dx"":468,""dy"":-8,""t"":11972},{""x"":931,""y"":877,""dx"":440,""dy"":56,""t"":12006},{""x"":866,""y"":901,""dx"":375,""dy"":80,""t"":12040}],[{""x"":1442,""y"":680,""dx"":-9,""dy"":-141,""t"":13060},{""x"":1430,""y"":691,""dx"":-21,""dy"":-130,""t"":13094},{""x"":1414,""y"":696,""dx"":-37,""dy"":-125,""t"":13128},{""x"":1403,""y"":696,""dx"":-48,""dy"":-125,""t"":13163},{""x"":1424,""y"":736,""dx"":-27,""dy"":-85,""t"":13196},{""x"":1414,""y"":745,""dx"":-37,""dy"":-76,""t"":13230},{""x"":1428,""y"":781,""dx"":-23,""dy"":-40,""t"":13264},{""x"":1410,""y"":775,""dx"":-41,""dy"":-46,""t"":13298},{""x"":1426,""y"":800,""dx"":-25,""dy"":-21,""t"":13332},{""x"":1446,""y"":825,""dx"":-5,""dy"":4,""t"":13366},{""x"":1468,""y"":846,""dx"":17,""dy"":25,""t"":13399},{""x"":1492,""y"":868,""dx"":41,""dy"":47,""t"":13434},{""x"":1506,""y"":886,""dx"":55,""dy"":65,""t"":13467},{""x"":1510,""y"":886,""dx"":59,""dy"":65,""t"":13502},{""x"":1495,""y"":879,""dx"":44,""dy"":58,""t"":13536},{""x"":1472,""y"":901,""dx"":21,""dy"":80,""t"":13570},{""x"":1484,""y"":919,""dx"":33,""dy"":98,""t"":13604},{""x"":1441,""y"":914,""dx"":-10,""dy"":93,""t"":13638},{""x"":1428,""y"":935,""dx"":-23,""dy"":114,""t"":13671},{""x"":1437,""y"":921,""dx"":-14,""dy"":100,""t"":13705},{""x"":1427,""y"":914,""dx"":-24,""dy"":93,""t"":13739},{""x"":1450,""y"":914,""dx"":-1,""dy"":93,""t"":13772},{""x"":1462,""y"":909,""dx"":11,""dy"":88,""t"":13807},{""x"":1453,""y"":930,""dx"":2,""dy"":109,""t"":13841},{""x"":1436,""y"":945,""dx"":-15,""dy"":124,""t"":13889},{""x"":1445,""y"":925,""dx"":-6,""dy"":104,""t"":13931},{""x"":1452,""y"":907,""dx"":1,""dy"":86,""t"":13941},{""x"":1465,""y"":894,""dx"":14,""dy"":73,""t"":13977},{""x"":1457,""y"":874,""dx"":6,""dy"":53,""t"":14012},{""x"":1469,""y"":866,""dx"":18,""dy"":45,""t"":14046},{""x"":1458,""y"":841,""dx"":7,""dy"":20,""t"":14080},{""x"":1436,""y"":798,""dx"":-15,""dy"":-23,""t"":14114},{""x"":1441,""y"":803,""dx"":-10,""dy"":-18,""t"":14148},{""x"":1445,""y"":809,""dx"":-6,""dy"":-12,""t"":14180},{""x"":1452,""y"":810,""dx"":1,""dy"":-11,""t"":14216},{""x"":1435,""y"":806,""dx"":-16,""dy"":-15,""t"":14250},{""x"":1404,""y"":830,""dx"":-47,""dy"":9,""t"":14284},{""x"":1381,""y"":837,""dx"":-70,""dy"":16,""t"":14318},{""x"":1377,""y"":838,""dx"":-74,""dy"":17,""t"":14353},{""x"":1388,""y"":827,""dx"":-63,""dy"":6,""t"":14385},{""x"":1390,""y"":824,""dx"":-61,""dy"":3,""t"":14420},{""x"":1418,""y"":840,""dx"":-33,""dy"":19,""t"":14454},{""x"":1448,""y"":852,""dx"":-3,""dy"":31,""t"":14488},{""x"":1444,""y"":821,""dx"":-7,""dy"":0,""t"":14522},{""x"":1434,""y"":821,""dx"":-17,""dy"":0,""t"":14556},{""x"":1444,""y"":809,""dx"":-7,""dy"":-12,""t"":14589},{""x"":1460,""y"":814,""dx"":9,""dy"":-7,""t"":14624},{""x"":1496,""y"":832,""dx"":45,""dy"":11,""t"":14658},{""x"":1472,""y"":822,""dx"":21,""dy"":1,""t"":14692},{""x"":1458,""y"":811,""dx"":7,""dy"":-10,""t"":14726},{""x"":1438,""y"":789,""dx"":-13,""dy"":-32,""t"":14760},{""x"":1407,""y"":769,""dx"":-44,""dy"":-52,""t"":14794},{""x"":1384,""y"":761,""dx"":-67,""dy"":-60,""t"":14828},{""x"":1407,""y"":777,""dx"":-44,""dy"":-44,""t"":14862},{""x"":1406,""y"":778,""dx"":-45,""dy"":-43,""t"":14896},{""x"":1402,""y"":766,""dx"":-49,""dy"":-55,""t"":14930},{""x"":1411,""y"":790,""dx"":-40,""dy"":-31,""t"":14964},{""x"":1408,""y"":770,""dx"":-43,""dy"":-51,""t"":14998},{""x"":1414,""y"":802,""dx"":-37,""dy"":-19,""t"":15032}]]","[55.00000000000001,94.91525423728814,10.16949152542373,11.864406779661017,100]","[{""x"":180.35,""y"":-60.7,""r"":106.75823620393922},{""x"":108.84745762711864,""y"":-15.779661016949152,""r"":54.89253558099473},{""x"":218.71186440677965,""y"":-123.11864406779661,""r"":58.07282523468523},{""x"":334.864406779661,""y"":160.88135593220338,""r"":114.55905998500552},{""x"":-12.966101694915254,""y"":7.898305084745763,""r"":60.46930555810683}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","","",""
"","html-button-response","9","64393","0.0-4.0-4.0-0.0-0.0","","","","","1199","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","",""
