"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","10915","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","10922","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","18044","0.0-2.0-0.0","","","","","7120","{""name"":""刘晓"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","21276","0.0-2.0-1.0","","","","","3231","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","28088","0.0-3.0","","","","","","","","2257","","","","","","","","","","","","","","","","","",""
"","html-button-response","5","29956","0.0-4.0-0.0","","","","","1866","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","43220","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","45555","0.0-4.0-2.0","","","","","2335","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","64651","0.0-4.0-3.0","","","","","","","","","","[[{""x"":434,""y"":258,""dx"":-57,""dy"":-23,""t"":990},{""x"":407,""y"":243,""dx"":-84,""dy"":-38,""t"":1024},{""x"":447,""y"":255,""dx"":-44,""dy"":-26,""t"":1058},{""x"":483,""y"":269,""dx"":-8,""dy"":-12,""t"":1092},{""x"":518,""y"":291,""dx"":27,""dy"":10,""t"":1126},{""x"":553,""y"":306,""dx"":62,""dy"":25,""t"":1160},{""x"":542,""y"":306,""dx"":51,""dy"":25,""t"":1194},{""x"":571,""y"":331,""dx"":80,""dy"":50,""t"":1229},{""x"":593,""y"":358,""dx"":102,""dy"":77,""t"":1261},{""x"":580,""y"":352,""dx"":89,""dy"":71,""t"":1296},{""x"":570,""y"":366,""dx"":79,""dy"":85,""t"":1330},{""x"":562,""y"":354,""dx"":71,""dy"":73,""t"":1364},{""x"":553,""y"":335,""dx"":62,""dy"":54,""t"":1398},{""x"":549,""y"":336,""dx"":58,""dy"":55,""t"":1432},{""x"":527,""y"":333,""dx"":36,""dy"":52,""t"":1466},{""x"":495,""y"":319,""dx"":4,""dy"":38,""t"":1501},{""x"":485,""y"":310,""dx"":-6,""dy"":29,""t"":1534},{""x"":482,""y"":316,""dx"":-9,""dy"":35,""t"":1567},{""x"":454,""y"":312,""dx"":-37,""dy"":31,""t"":1602},{""x"":500,""y"":331,""dx"":9,""dy"":50,""t"":1637},{""x"":523,""y"":332,""dx"":32,""dy"":51,""t"":1670},{""x"":495,""y"":331,""dx"":4,""dy"":50,""t"":1704},{""x"":521,""y"":329,""dx"":30,""dy"":48,""t"":1738},{""x"":527,""y"":330,""dx"":36,""dy"":49,""t"":1773},{""x"":490,""y"":327,""dx"":-1,""dy"":46,""t"":1806},{""x"":499,""y"":346,""dx"":8,""dy"":65,""t"":1840},{""x"":536,""y"":346,""dx"":45,""dy"":65,""t"":1875},{""x"":498,""y"":326,""dx"":7,""dy"":45,""t"":1908},{""x"":498,""y"":324,""dx"":7,""dy"":43,""t"":1942},{""x"":467,""y"":319,""dx"":-24,""dy"":38,""t"":1973},{""x"":447,""y"":322,""dx"":-44,""dy"":41,""t"":2010},{""x"":421,""y"":305,""dx"":-70,""dy"":24,""t"":2044},{""x"":434,""y"":300,""dx"":-57,""dy"":19,""t"":2078},{""x"":448,""y"":307,""dx"":-43,""dy"":26,""t"":2113},{""x"":446,""y"":295,""dx"":-45,""dy"":14,""t"":2146},{""x"":459,""y"":305,""dx"":-32,""dy"":24,""t"":2179},{""x"":467,""y"":316,""dx"":-24,""dy"":35,""t"":2214},{""x"":450,""y"":323,""dx"":-41,""dy"":42,""t"":2247},{""x"":467,""y"":320,""dx"":-24,""dy"":39,""t"":2283},{""x"":495,""y"":329,""dx"":4,""dy"":48,""t"":2316},{""x"":518,""y"":332,""dx"":27,""dy"":51,""t"":2349},{""x"":537,""y"":333,""dx"":46,""dy"":52,""t"":2381},{""x"":544,""y"":320,""dx"":53,""dy"":39,""t"":2418},{""x"":533,""y"":322,""dx"":42,""dy"":41,""t"":2452},{""x"":515,""y"":319,""dx"":24,""dy"":38,""t"":2486},{""x"":496,""y"":320,""dx"":5,""dy"":39,""t"":2520},{""x"":511,""y"":341,""dx"":20,""dy"":60,""t"":2554},{""x"":502,""y"":341,""dx"":11,""dy"":60,""t"":2588},{""x"":511,""y"":344,""dx"":20,""dy"":63,""t"":2621},{""x"":499,""y"":331,""dx"":8,""dy"":50,""t"":2656},{""x"":492,""y"":333,""dx"":1,""dy"":52,""t"":2690},{""x"":483,""y"":343,""dx"":-8,""dy"":62,""t"":2724},{""x"":481,""y"":343,""dx"":-10,""dy"":62,""t"":2759},{""x"":472,""y"":338,""dx"":-19,""dy"":57,""t"":2792},{""x"":472,""y"":343,""dx"":-19,""dy"":62,""t"":2827},{""x"":467,""y"":344,""dx"":-24,""dy"":63,""t"":2860},{""x"":468,""y"":342,""dx"":-23,""dy"":61,""t"":2894},{""x"":514,""y"":361,""dx"":23,""dy"":80,""t"":2927},{""x"":528,""y"":370,""dx"":37,""dy"":89,""t"":2962},{""x"":520,""y"":369,""dx"":29,""dy"":88,""t"":2996}],[{""x"":1495,""y"":385,""dx"":44,""dy"":104,""t"":4015},{""x"":1481,""y"":390,""dx"":30,""dy"":109,""t"":4051},{""x"":1463,""y"":393,""dx"":12,""dy"":112,""t"":4084},{""x"":1448,""y"":398,""dx"":-3,""dy"":117,""t"":4118},{""x"":1443,""y"":387,""dx"":-8,""dy"":106,""t"":4153},{""x"":1429,""y"":382,""dx"":-22,""dy"":101,""t"":4186},{""x"":1411,""y"":363,""dx"":-40,""dy"":82,""t"":4220},{""x"":1396,""y"":329,""dx"":-55,""dy"":48,""t"":4254},{""x"":1392,""y"":316,""dx"":-59,""dy"":35,""t"":4287},{""x"":1391,""y"":306,""dx"":-60,""dy"":25,""t"":4319},{""x"":1400,""y"":330,""dx"":-51,""dy"":49,""t"":4356},{""x"":1416,""y"":357,""dx"":-35,""dy"":76,""t"":4391},{""x"":1418,""y"":387,""dx"":-33,""dy"":106,""t"":4424},{""x"":1425,""y"":383,""dx"":-26,""dy"":102,""t"":4459},{""x"":1437,""y"":402,""dx"":-14,""dy"":121,""t"":4491},{""x"":1435,""y"":398,""dx"":-16,""dy"":117,""t"":4526},{""x"":1432,""y"":380,""dx"":-19,""dy"":99,""t"":4560},{""x"":1431,""y"":382,""dx"":-20,""dy"":101,""t"":4595},{""x"":1430,""y"":385,""dx"":-21,""dy"":104,""t"":4628},{""x"":1433,""y"":404,""dx"":-18,""dy"":123,""t"":4663},{""x"":1441,""y"":414,""dx"":-10,""dy"":133,""t"":4696},{""x"":1442,""y"":414,""dx"":-9,""dy"":133,""t"":4730},{""x"":1437,""y"":427,""dx"":-14,""dy"":146,""t"":4764},{""x"":1442,""y"":433,""dx"":-9,""dy"":152,""t"":4797},{""x"":1444,""y"":449,""dx"":-7,""dy"":168,""t"":4832},{""x"":1444,""y"":441,""dx"":-7,""dy"":160,""t"":4866},{""x"":1442,""y"":444,""dx"":-9,""dy"":163,""t"":4901},{""x"":1439,""y"":430,""dx"":-12,""dy"":149,""t"":4934},{""x"":1451,""y"":424,""dx"":0,""dy"":143,""t"":4999},{""x"":1461,""y"":420,""dx"":10,""dy"":139,""t"":5006},{""x"":1462,""y"":416,""dx"":11,""dy"":135,""t"":5036},{""x"":1465,""y"":408,""dx"":14,""dy"":127,""t"":5070},{""x"":1463,""y"":407,""dx"":12,""dy"":126,""t"":5104},{""x"":1474,""y"":415,""dx"":23,""dy"":134,""t"":5137},{""x"":1480,""y"":421,""dx"":29,""dy"":140,""t"":5172},{""x"":1479,""y"":414,""dx"":28,""dy"":133,""t"":5206},{""x"":1476,""y"":417,""dx"":25,""dy"":136,""t"":5240},{""x"":1492,""y"":431,""dx"":41,""dy"":150,""t"":5274},{""x"":1502,""y"":440,""dx"":51,""dy"":159,""t"":5309},{""x"":1495,""y"":444,""dx"":44,""dy"":163,""t"":5342},{""x"":1491,""y"":417,""dx"":40,""dy"":136,""t"":5375},{""x"":1499,""y"":434,""dx"":48,""dy"":153,""t"":5410},{""x"":1500,""y"":437,""dx"":49,""dy"":156,""t"":5444},{""x"":1499,""y"":441,""dx"":48,""dy"":160,""t"":5477},{""x"":1498,""y"":445,""dx"":47,""dy"":164,""t"":5509},{""x"":1501,""y"":430,""dx"":50,""dy"":149,""t"":5546},{""x"":1503,""y"":421,""dx"":52,""dy"":140,""t"":5580},{""x"":1500,""y"":428,""dx"":49,""dy"":147,""t"":5615},{""x"":1503,""y"":443,""dx"":52,""dy"":162,""t"":5648},{""x"":1507,""y"":447,""dx"":56,""dy"":166,""t"":5682},{""x"":1502,""y"":437,""dx"":51,""dy"":156,""t"":5716},{""x"":1467,""y"":446,""dx"":16,""dy"":165,""t"":5751},{""x"":1460,""y"":438,""dx"":9,""dy"":157,""t"":5783},{""x"":1441,""y"":446,""dx"":-10,""dy"":165,""t"":5819},{""x"":1445,""y"":379,""dx"":-6,""dy"":98,""t"":5852},{""x"":1474,""y"":383,""dx"":23,""dy"":102,""t"":5887},{""x"":1461,""y"":395,""dx"":10,""dy"":114,""t"":5918},{""x"":1447,""y"":403,""dx"":-4,""dy"":122,""t"":5954},{""x"":1434,""y"":406,""dx"":-17,""dy"":125,""t"":5987}],[{""x"":972,""y"":729,""dx"":1,""dy"":178,""t"":7042},{""x"":966,""y"":708,""dx"":-5,""dy"":157,""t"":7076},{""x"":954,""y"":707,""dx"":-17,""dy"":156,""t"":7110},{""x"":977,""y"":724,""dx"":6,""dy"":173,""t"":7144},{""x"":982,""y"":729,""dx"":11,""dy"":178,""t"":7178},{""x"":971,""y"":734,""dx"":0,""dy"":183,""t"":7213},{""x"":983,""y"":725,""dx"":12,""dy"":174,""t"":7246},{""x"":983,""y"":723,""dx"":12,""dy"":172,""t"":7281},{""x"":990,""y"":725,""dx"":19,""dy"":174,""t"":7314},{""x"":987,""y"":719,""dx"":16,""dy"":168,""t"":7347},{""x"":979,""y"":716,""dx"":8,""dy"":165,""t"":7383},{""x"":941,""y"":703,""dx"":-30,""dy"":152,""t"":7416},{""x"":931,""y"":713,""dx"":-40,""dy"":162,""t"":7451},{""x"":922,""y"":722,""dx"":-49,""dy"":171,""t"":7482},{""x"":919,""y"":708,""dx"":-52,""dy"":157,""t"":7518},{""x"":925,""y"":709,""dx"":-46,""dy"":158,""t"":7553},{""x"":920,""y"":698,""dx"":-51,""dy"":147,""t"":7586},{""x"":926,""y"":684,""dx"":-45,""dy"":133,""t"":7619},{""x"":927,""y"":670,""dx"":-44,""dy"":119,""t"":7654},{""x"":961,""y"":682,""dx"":-10,""dy"":131,""t"":7687},{""x"":966,""y"":673,""dx"":-5,""dy"":122,""t"":7721},{""x"":962,""y"":657,""dx"":-9,""dy"":106,""t"":7755},{""x"":979,""y"":647,""dx"":8,""dy"":96,""t"":7790},{""x"":973,""y"":627,""dx"":2,""dy"":76,""t"":7825},{""x"":964,""y"":654,""dx"":-7,""dy"":103,""t"":7858},{""x"":956,""y"":678,""dx"":-15,""dy"":127,""t"":7889},{""x"":929,""y"":672,""dx"":-42,""dy"":121,""t"":7926},{""x"":945,""y"":646,""dx"":-26,""dy"":95,""t"":7961},{""x"":968,""y"":648,""dx"":-3,""dy"":97,""t"":7994},{""x"":974,""y"":646,""dx"":3,""dy"":95,""t"":8028},{""x"":979,""y"":649,""dx"":8,""dy"":98,""t"":8062},{""x"":989,""y"":660,""dx"":18,""dy"":109,""t"":8096},{""x"":997,""y"":672,""dx"":26,""dy"":121,""t"":8129},{""x"":1009,""y"":685,""dx"":38,""dy"":134,""t"":8164},{""x"":1011,""y"":681,""dx"":40,""dy"":130,""t"":8198},{""x"":1005,""y"":672,""dx"":34,""dy"":121,""t"":8232},{""x"":1014,""y"":684,""dx"":43,""dy"":133,""t"":8266},{""x"":1000,""y"":698,""dx"":29,""dy"":147,""t"":8300},{""x"":1007,""y"":683,""dx"":36,""dy"":132,""t"":8334},{""x"":1007,""y"":678,""dx"":36,""dy"":127,""t"":8368},{""x"":1021,""y"":679,""dx"":50,""dy"":128,""t"":8403},{""x"":1018,""y"":679,""dx"":47,""dy"":128,""t"":8436},{""x"":1020,""y"":664,""dx"":49,""dy"":113,""t"":8471},{""x"":1008,""y"":646,""dx"":37,""dy"":95,""t"":8504},{""x"":1021,""y"":640,""dx"":50,""dy"":89,""t"":8537},{""x"":1016,""y"":664,""dx"":45,""dy"":113,""t"":8571},{""x"":1003,""y"":672,""dx"":32,""dy"":121,""t"":8606},{""x"":1004,""y"":693,""dx"":33,""dy"":142,""t"":8640},{""x"":1021,""y"":688,""dx"":50,""dy"":137,""t"":8674},{""x"":1026,""y"":686,""dx"":55,""dy"":135,""t"":8708},{""x"":1015,""y"":667,""dx"":44,""dy"":116,""t"":8743},{""x"":1029,""y"":684,""dx"":58,""dy"":133,""t"":8777},{""x"":1028,""y"":689,""dx"":57,""dy"":138,""t"":8810},{""x"":1037,""y"":677,""dx"":66,""dy"":126,""t"":8844},{""x"":1040,""y"":688,""dx"":69,""dy"":137,""t"":8878},{""x"":1027,""y"":683,""dx"":56,""dy"":132,""t"":8912},{""x"":1028,""y"":678,""dx"":57,""dy"":127,""t"":8946},{""x"":996,""y"":693,""dx"":25,""dy"":142,""t"":8980},{""x"":994,""y"":681,""dx"":23,""dy"":130,""t"":9014}],[{""x"":564,""y"":816,""dx"":73,""dy"":-5,""t"":10034},{""x"":531,""y"":817,""dx"":40,""dy"":-4,""t"":10068},{""x"":528,""y"":815,""dx"":37,""dy"":-6,""t"":10102},{""x"":506,""y"":807,""dx"":15,""dy"":-14,""t"":10135},{""x"":501,""y"":807,""dx"":10,""dy"":-14,""t"":10170},{""x"":485,""y"":812,""dx"":-6,""dy"":-9,""t"":10204},{""x"":484,""y"":810,""dx"":-7,""dy"":-11,""t"":10238},{""x"":470,""y"":788,""dx"":-21,""dy"":-33,""t"":10272},{""x"":485,""y"":779,""dx"":-6,""dy"":-42,""t"":10306},{""x"":498,""y"":762,""dx"":7,""dy"":-59,""t"":10339},{""x"":492,""y"":749,""dx"":1,""dy"":-72,""t"":10374},{""x"":492,""y"":755,""dx"":1,""dy"":-66,""t"":10408},{""x"":484,""y"":772,""dx"":-7,""dy"":-49,""t"":10442},{""x"":462,""y"":754,""dx"":-29,""dy"":-67,""t"":10476},{""x"":450,""y"":756,""dx"":-41,""dy"":-65,""t"":10511},{""x"":442,""y"":778,""dx"":-49,""dy"":-43,""t"":10545},{""x"":429,""y"":764,""dx"":-62,""dy"":-57,""t"":10578},{""x"":433,""y"":768,""dx"":-58,""dy"":-53,""t"":10612},{""x"":511,""y"":774,""dx"":20,""dy"":-47,""t"":10646},{""x"":578,""y"":779,""dx"":87,""dy"":-42,""t"":10678},{""x"":627,""y"":798,""dx"":136,""dy"":-23,""t"":10714},{""x"":665,""y"":788,""dx"":174,""dy"":-33,""t"":10748},{""x"":692,""y"":792,""dx"":201,""dy"":-29,""t"":10782},{""x"":661,""y"":802,""dx"":170,""dy"":-19,""t"":10816},{""x"":689,""y"":810,""dx"":198,""dy"":-11,""t"":10850},{""x"":656,""y"":812,""dx"":165,""dy"":-9,""t"":10884},{""x"":686,""y"":805,""dx"":195,""dy"":-16,""t"":10919},{""x"":697,""y"":813,""dx"":206,""dy"":-8,""t"":10951},{""x"":712,""y"":813,""dx"":221,""dy"":-8,""t"":10986},{""x"":724,""y"":818,""dx"":233,""dy"":-3,""t"":11020},{""x"":732,""y"":822,""dx"":241,""dy"":1,""t"":11051},{""x"":741,""y"":827,""dx"":250,""dy"":6,""t"":11088},{""x"":743,""y"":839,""dx"":252,""dy"":18,""t"":11122},{""x"":742,""y"":833,""dx"":251,""dy"":12,""t"":11156},{""x"":747,""y"":839,""dx"":256,""dy"":18,""t"":11191},{""x"":753,""y"":841,""dx"":262,""dy"":20,""t"":11224},{""x"":770,""y"":817,""dx"":279,""dy"":-4,""t"":11258},{""x"":771,""y"":808,""dx"":280,""dy"":-13,""t"":11292},{""x"":775,""y"":796,""dx"":284,""dy"":-25,""t"":11326},{""x"":781,""y"":794,""dx"":290,""dy"":-27,""t"":11360},{""x"":786,""y"":799,""dx"":295,""dy"":-22,""t"":11394},{""x"":782,""y"":807,""dx"":291,""dy"":-14,""t"":11428},{""x"":794,""y"":814,""dx"":303,""dy"":-7,""t"":11462},{""x"":794,""y"":808,""dx"":303,""dy"":-13,""t"":11496},{""x"":787,""y"":794,""dx"":296,""dy"":-27,""t"":11530},{""x"":799,""y"":770,""dx"":308,""dy"":-51,""t"":11564},{""x"":815,""y"":752,""dx"":324,""dy"":-69,""t"":11598},{""x"":808,""y"":750,""dx"":317,""dy"":-71,""t"":11633},{""x"":811,""y"":750,""dx"":320,""dy"":-71,""t"":11666},{""x"":810,""y"":737,""dx"":319,""dy"":-84,""t"":11701},{""x"":814,""y"":726,""dx"":323,""dy"":-95,""t"":11734},{""x"":813,""y"":713,""dx"":322,""dy"":-108,""t"":11769},{""x"":820,""y"":710,""dx"":329,""dy"":-111,""t"":11802},{""x"":836,""y"":698,""dx"":345,""dy"":-123,""t"":11836},{""x"":843,""y"":703,""dx"":352,""dy"":-118,""t"":11870},{""x"":857,""y"":695,""dx"":366,""dy"":-126,""t"":11905},{""x"":864,""y"":701,""dx"":373,""dy"":-120,""t"":11937},{""x"":797,""y"":699,""dx"":306,""dy"":-122,""t"":11971},{""x"":791,""y"":717,""dx"":300,""dy"":-104,""t"":12005}],[{""x"":1436,""y"":854,""dx"":-15,""dy"":33,""t"":13057},{""x"":1438,""y"":858,""dx"":-13,""dy"":37,""t"":13096},{""x"":1436,""y"":852,""dx"":-15,""dy"":31,""t"":13128},{""x"":1424,""y"":848,""dx"":-27,""dy"":27,""t"":13162},{""x"":1417,""y"":841,""dx"":-34,""dy"":20,""t"":13196},{""x"":1385,""y"":842,""dx"":-66,""dy"":21,""t"":13230},{""x"":1386,""y"":849,""dx"":-65,""dy"":28,""t"":13264},{""x"":1401,""y"":852,""dx"":-50,""dy"":31,""t"":13298},{""x"":1392,""y"":847,""dx"":-59,""dy"":26,""t"":13333},{""x"":1417,""y"":845,""dx"":-34,""dy"":24,""t"":13366},{""x"":1429,""y"":842,""dx"":-22,""dy"":21,""t"":13400},{""x"":1424,""y"":837,""dx"":-27,""dy"":16,""t"":13434},{""x"":1438,""y"":831,""dx"":-13,""dy"":10,""t"":13468},{""x"":1421,""y"":843,""dx"":-30,""dy"":22,""t"":13502},{""x"":1429,""y"":831,""dx"":-22,""dy"":10,""t"":13536},{""x"":1433,""y"":818,""dx"":-18,""dy"":-3,""t"":13571},{""x"":1430,""y"":827,""dx"":-21,""dy"":6,""t"":13604},{""x"":1421,""y"":820,""dx"":-30,""dy"":-1,""t"":13638},{""x"":1424,""y"":815,""dx"":-27,""dy"":-6,""t"":13671},{""x"":1443,""y"":815,""dx"":-8,""dy"":-6,""t"":13706},{""x"":1432,""y"":840,""dx"":-19,""dy"":19,""t"":13741},{""x"":1435,""y"":837,""dx"":-16,""dy"":16,""t"":13774},{""x"":1447,""y"":847,""dx"":-4,""dy"":26,""t"":13808},{""x"":1440,""y"":856,""dx"":-11,""dy"":35,""t"":13841},{""x"":1436,""y"":855,""dx"":-15,""dy"":34,""t"":13876},{""x"":1421,""y"":857,""dx"":-30,""dy"":36,""t"":13911},{""x"":1407,""y"":876,""dx"":-44,""dy"":55,""t"":13944},{""x"":1404,""y"":878,""dx"":-47,""dy"":57,""t"":13979},{""x"":1412,""y"":866,""dx"":-39,""dy"":45,""t"":14011},{""x"":1395,""y"":878,""dx"":-56,""dy"":57,""t"":14046},{""x"":1375,""y"":889,""dx"":-76,""dy"":68,""t"":14080},{""x"":1353,""y"":890,""dx"":-98,""dy"":69,""t"":14114},{""x"":1366,""y"":885,""dx"":-85,""dy"":64,""t"":14148},{""x"":1371,""y"":887,""dx"":-80,""dy"":66,""t"":14182},{""x"":1387,""y"":888,""dx"":-64,""dy"":67,""t"":14216},{""x"":1402,""y"":888,""dx"":-49,""dy"":67,""t"":14248},{""x"":1408,""y"":881,""dx"":-43,""dy"":60,""t"":14284},{""x"":1399,""y"":870,""dx"":-52,""dy"":49,""t"":14318},{""x"":1407,""y"":878,""dx"":-44,""dy"":57,""t"":14391},{""x"":1414,""y"":884,""dx"":-37,""dy"":63,""t"":14417},{""x"":1407,""y"":882,""dx"":-44,""dy"":61,""t"":14453},{""x"":1403,""y"":881,""dx"":-48,""dy"":60,""t"":14488},{""x"":1388,""y"":869,""dx"":-63,""dy"":48,""t"":14522},{""x"":1377,""y"":861,""dx"":-74,""dy"":40,""t"":14555},{""x"":1361,""y"":858,""dx"":-90,""dy"":37,""t"":14590},{""x"":1347,""y"":856,""dx"":-104,""dy"":35,""t"":14622},{""x"":1342,""y"":863,""dx"":-109,""dy"":42,""t"":14659},{""x"":1334,""y"":854,""dx"":-117,""dy"":33,""t"":14692},{""x"":1338,""y"":845,""dx"":-113,""dy"":24,""t"":14726},{""x"":1352,""y"":854,""dx"":-99,""dy"":33,""t"":14760},{""x"":1342,""y"":858,""dx"":-109,""dy"":37,""t"":14794},{""x"":1352,""y"":849,""dx"":-99,""dy"":28,""t"":14828},{""x"":1345,""y"":857,""dx"":-106,""dy"":36,""t"":14862},{""x"":1347,""y"":847,""dx"":-104,""dy"":26,""t"":14896},{""x"":1353,""y"":844,""dx"":-98,""dy"":23,""t"":14930},{""x"":1351,""y"":855,""dx"":-100,""dy"":34,""t"":14965},{""x"":1353,""y"":867,""dx"":-98,""dy"":46,""t"":14999},{""x"":1349,""y"":875,""dx"":-102,""dy"":54,""t"":15032}]]","[100,100,100,44.06779661016949,100]","[{""x"":8.266666666666667,""y"":44.03333333333333,""r"":51.65617705617672},{""x"":6.101694915254237,""y"":126.49152542372882,""r"":35.978775383286894},{""x"":13.779661016949152,""y"":133.5593220338983,""r"":38.48185177234569},{""x"":180.35593220338984,""y"":-40.11864406779661,""r"":140.09018312578516},{""x"":-54.86206896551724,""y"":35.41379310344828,""r"":59.53436866672314}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.30","validate","","","","","","","","","","",""
"","html-button-response","9","67763","0.0-4.0-4.0-0.0-0.0","","","","","3111","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","",""
