"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","5992","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","5998","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","34317","0.0-2.0-0.0","","","","","28314","{""name"":""陈舒雨"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","38237","0.0-2.0-1.0","","","","","3918","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","4","46142","0.0-3.0","","","","","","","","1465","","","","","","","","","","","","","","","","","",""
"","html-button-response","5","49765","0.0-4.0-0.0","","","","","3621","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","6","62094","0.0-4.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","7","62901","0.0-4.0-2.0","","","","","806","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","8","82255","0.0-4.0-3.0","","","","","","","","","","[[{""x"":536,""y"":553,""dx"":45,""dy"":272,""t"":990},{""x"":526,""y"":565,""dx"":35,""dy"":284,""t"":1024},{""x"":518,""y"":581,""dx"":27,""dy"":300,""t"":1058},{""x"":524,""y"":556,""dx"":33,""dy"":275,""t"":1093},{""x"":545,""y"":534,""dx"":54,""dy"":253,""t"":1126},{""x"":549,""y"":530,""dx"":58,""dy"":249,""t"":1160},{""x"":542,""y"":560,""dx"":51,""dy"":279,""t"":1193},{""x"":529,""y"":530,""dx"":38,""dy"":249,""t"":1227},{""x"":525,""y"":565,""dx"":34,""dy"":284,""t"":1262},{""x"":522,""y"":596,""dx"":31,""dy"":315,""t"":1294},{""x"":551,""y"":611,""dx"":60,""dy"":330,""t"":1330},{""x"":548,""y"":560,""dx"":57,""dy"":279,""t"":1364},{""x"":544,""y"":523,""dx"":53,""dy"":242,""t"":1398},{""x"":539,""y"":532,""dx"":48,""dy"":251,""t"":1432},{""x"":541,""y"":538,""dx"":50,""dy"":257,""t"":1466},{""x"":514,""y"":522,""dx"":23,""dy"":241,""t"":1500},{""x"":557,""y"":531,""dx"":66,""dy"":250,""t"":1534},{""x"":555,""y"":568,""dx"":64,""dy"":287,""t"":1569},{""x"":520,""y"":530,""dx"":29,""dy"":249,""t"":1602},{""x"":488,""y"":512,""dx"":-3,""dy"":231,""t"":1636},{""x"":484,""y"":485,""dx"":-7,""dy"":204,""t"":1670},{""x"":464,""y"":467,""dx"":-27,""dy"":186,""t"":1704},{""x"":454,""y"":467,""dx"":-37,""dy"":186,""t"":1737},{""x"":437,""y"":496,""dx"":-54,""dy"":215,""t"":1772},{""x"":429,""y"":476,""dx"":-62,""dy"":195,""t"":1806},{""x"":439,""y"":487,""dx"":-52,""dy"":206,""t"":1840},{""x"":472,""y"":490,""dx"":-19,""dy"":209,""t"":1874},{""x"":506,""y"":440,""dx"":15,""dy"":159,""t"":1908},{""x"":546,""y"":479,""dx"":55,""dy"":198,""t"":1941},{""x"":578,""y"":483,""dx"":87,""dy"":202,""t"":1976},{""x"":601,""y"":530,""dx"":110,""dy"":249,""t"":2010},{""x"":594,""y"":582,""dx"":103,""dy"":301,""t"":2044},{""x"":612,""y"":545,""dx"":121,""dy"":264,""t"":2078},{""x"":612,""y"":561,""dx"":121,""dy"":280,""t"":2111},{""x"":617,""y"":579,""dx"":126,""dy"":298,""t"":2148},{""x"":621,""y"":573,""dx"":130,""dy"":292,""t"":2180},{""x"":644,""y"":561,""dx"":153,""dy"":280,""t"":2214},{""x"":635,""y"":557,""dx"":144,""dy"":276,""t"":2248},{""x"":644,""y"":580,""dx"":153,""dy"":299,""t"":2282},{""x"":629,""y"":585,""dx"":138,""dy"":304,""t"":2317},{""x"":614,""y"":543,""dx"":123,""dy"":262,""t"":2349},{""x"":581,""y"":543,""dx"":90,""dy"":262,""t"":2384},{""x"":590,""y"":541,""dx"":99,""dy"":260,""t"":2418},{""x"":593,""y"":497,""dx"":102,""dy"":216,""t"":2452},{""x"":583,""y"":504,""dx"":92,""dy"":223,""t"":2483},{""x"":591,""y"":542,""dx"":100,""dy"":261,""t"":2520},{""x"":606,""y"":541,""dx"":115,""dy"":260,""t"":2554},{""x"":600,""y"":504,""dx"":109,""dy"":223,""t"":2588},{""x"":564,""y"":533,""dx"":73,""dy"":252,""t"":2622},{""x"":575,""y"":523,""dx"":84,""dy"":242,""t"":2656},{""x"":598,""y"":465,""dx"":107,""dy"":184,""t"":2690},{""x"":616,""y"":440,""dx"":125,""dy"":159,""t"":2725},{""x"":594,""y"":469,""dx"":103,""dy"":188,""t"":2758},{""x"":600,""y"":478,""dx"":109,""dy"":197,""t"":2792},{""x"":578,""y"":452,""dx"":87,""dy"":171,""t"":2827},{""x"":543,""y"":438,""dx"":52,""dy"":157,""t"":2860},{""x"":514,""y"":426,""dx"":23,""dy"":145,""t"":2891},{""x"":526,""y"":465,""dx"":35,""dy"":184,""t"":2928},{""x"":551,""y"":510,""dx"":60,""dy"":229,""t"":2962}],[{""x"":1350,""y"":513,""dx"":-101,""dy"":232,""t"":3982},{""x"":1346,""y"":493,""dx"":-105,""dy"":212,""t"":4016},{""x"":1334,""y"":458,""dx"":-117,""dy"":177,""t"":4050},{""x"":1363,""y"":456,""dx"":-88,""dy"":175,""t"":4084},{""x"":1405,""y"":433,""dx"":-46,""dy"":152,""t"":4118},{""x"":1381,""y"":454,""dx"":-70,""dy"":173,""t"":4152},{""x"":1346,""y"":447,""dx"":-105,""dy"":166,""t"":4186},{""x"":1351,""y"":449,""dx"":-100,""dy"":168,""t"":4220},{""x"":1318,""y"":447,""dx"":-133,""dy"":166,""t"":4288},{""x"":1297,""y"":430,""dx"":-154,""dy"":149,""t"":4322},{""x"":1278,""y"":453,""dx"":-173,""dy"":172,""t"":4356},{""x"":1269,""y"":425,""dx"":-182,""dy"":144,""t"":4390},{""x"":1264,""y"":433,""dx"":-187,""dy"":152,""t"":4424},{""x"":1253,""y"":466,""dx"":-198,""dy"":185,""t"":4456},{""x"":1236,""y"":481,""dx"":-215,""dy"":200,""t"":4492},{""x"":1263,""y"":447,""dx"":-188,""dy"":166,""t"":4526},{""x"":1278,""y"":431,""dx"":-173,""dy"":150,""t"":4560},{""x"":1279,""y"":412,""dx"":-172,""dy"":131,""t"":4593},{""x"":1288,""y"":404,""dx"":-163,""dy"":123,""t"":4628},{""x"":1289,""y"":413,""dx"":-162,""dy"":132,""t"":4663},{""x"":1289,""y"":430,""dx"":-162,""dy"":149,""t"":4695},{""x"":1297,""y"":392,""dx"":-154,""dy"":111,""t"":4730},{""x"":1323,""y"":382,""dx"":-128,""dy"":101,""t"":4764},{""x"":1320,""y"":369,""dx"":-131,""dy"":88,""t"":4798},{""x"":1301,""y"":367,""dx"":-150,""dy"":86,""t"":4832},{""x"":1292,""y"":371,""dx"":-159,""dy"":90,""t"":4863},{""x"":1259,""y"":404,""dx"":-192,""dy"":123,""t"":4900},{""x"":1323,""y"":419,""dx"":-128,""dy"":138,""t"":4934},{""x"":1317,""y"":413,""dx"":-134,""dy"":132,""t"":4968},{""x"":1318,""y"":434,""dx"":-133,""dy"":153,""t"":5002},{""x"":1288,""y"":451,""dx"":-163,""dy"":170,""t"":5036},{""x"":1274,""y"":439,""dx"":-177,""dy"":158,""t"":5071},{""x"":1250,""y"":450,""dx"":-201,""dy"":169,""t"":5104},{""x"":1214,""y"":486,""dx"":-237,""dy"":205,""t"":5138},{""x"":1218,""y"":467,""dx"":-233,""dy"":186,""t"":5172},{""x"":1226,""y"":472,""dx"":-225,""dy"":191,""t"":5206},{""x"":1252,""y"":452,""dx"":-199,""dy"":171,""t"":5240},{""x"":1254,""y"":468,""dx"":-197,""dy"":187,""t"":5274},{""x"":1290,""y"":459,""dx"":-161,""dy"":178,""t"":5307},{""x"":1320,""y"":450,""dx"":-131,""dy"":169,""t"":5342},{""x"":1323,""y"":480,""dx"":-128,""dy"":199,""t"":5375},{""x"":1336,""y"":465,""dx"":-115,""dy"":184,""t"":5410},{""x"":1329,""y"":451,""dx"":-122,""dy"":170,""t"":5443},{""x"":1329,""y"":452,""dx"":-122,""dy"":171,""t"":5479},{""x"":1320,""y"":425,""dx"":-131,""dy"":144,""t"":5512},{""x"":1307,""y"":463,""dx"":-144,""dy"":182,""t"":5546},{""x"":1291,""y"":490,""dx"":-160,""dy"":209,""t"":5580},{""x"":1300,""y"":505,""dx"":-151,""dy"":224,""t"":5615},{""x"":1322,""y"":480,""dx"":-129,""dy"":199,""t"":5647},{""x"":1334,""y"":459,""dx"":-117,""dy"":178,""t"":5682},{""x"":1337,""y"":453,""dx"":-114,""dy"":172,""t"":5716},{""x"":1325,""y"":432,""dx"":-126,""dy"":151,""t"":5750},{""x"":1343,""y"":431,""dx"":-108,""dy"":150,""t"":5784},{""x"":1348,""y"":403,""dx"":-103,""dy"":122,""t"":5818},{""x"":1332,""y"":384,""dx"":-119,""dy"":103,""t"":5852},{""x"":1348,""y"":391,""dx"":-103,""dy"":110,""t"":5886},{""x"":1344,""y"":393,""dx"":-107,""dy"":112,""t"":5920},{""x"":1331,""y"":416,""dx"":-120,""dy"":135,""t"":5954},{""x"":1318,""y"":443,""dx"":-133,""dy"":162,""t"":5989}],[{""x"":961,""y"":808,""dx"":-10,""dy"":257,""t"":7008},{""x"":969,""y"":775,""dx"":-2,""dy"":224,""t"":7041},{""x"":978,""y"":765,""dx"":7,""dy"":214,""t"":7076},{""x"":991,""y"":736,""dx"":20,""dy"":185,""t"":7110},{""x"":996,""y"":717,""dx"":25,""dy"":166,""t"":7143},{""x"":1012,""y"":664,""dx"":41,""dy"":113,""t"":7178},{""x"":994,""y"":654,""dx"":23,""dy"":103,""t"":7212},{""x"":980,""y"":650,""dx"":9,""dy"":99,""t"":7246},{""x"":993,""y"":664,""dx"":22,""dy"":113,""t"":7280},{""x"":994,""y"":719,""dx"":23,""dy"":168,""t"":7314},{""x"":971,""y"":732,""dx"":0,""dy"":181,""t"":7348},{""x"":974,""y"":740,""dx"":3,""dy"":189,""t"":7382},{""x"":980,""y"":730,""dx"":9,""dy"":179,""t"":7416},{""x"":969,""y"":721,""dx"":-2,""dy"":170,""t"":7449},{""x"":986,""y"":724,""dx"":15,""dy"":173,""t"":7484},{""x"":979,""y"":728,""dx"":8,""dy"":177,""t"":7518},{""x"":969,""y"":719,""dx"":-2,""dy"":168,""t"":7552},{""x"":960,""y"":744,""dx"":-11,""dy"":193,""t"":7586},{""x"":967,""y"":748,""dx"":-4,""dy"":197,""t"":7620},{""x"":970,""y"":760,""dx"":-1,""dy"":209,""t"":7654},{""x"":966,""y"":764,""dx"":-5,""dy"":213,""t"":7688},{""x"":971,""y"":757,""dx"":0,""dy"":206,""t"":7722},{""x"":971,""y"":735,""dx"":0,""dy"":184,""t"":7756},{""x"":956,""y"":749,""dx"":-15,""dy"":198,""t"":7791},{""x"":957,""y"":755,""dx"":-14,""dy"":204,""t"":7825},{""x"":946,""y"":743,""dx"":-25,""dy"":192,""t"":7858},{""x"":949,""y"":757,""dx"":-22,""dy"":206,""t"":7891},{""x"":956,""y"":748,""dx"":-15,""dy"":197,""t"":7926},{""x"":945,""y"":726,""dx"":-26,""dy"":175,""t"":7960},{""x"":942,""y"":732,""dx"":-29,""dy"":181,""t"":7994},{""x"":936,""y"":735,""dx"":-35,""dy"":184,""t"":8026},{""x"":955,""y"":743,""dx"":-16,""dy"":192,""t"":8061},{""x"":960,""y"":739,""dx"":-11,""dy"":188,""t"":8097},{""x"":960,""y"":741,""dx"":-11,""dy"":190,""t"":8130},{""x"":968,""y"":737,""dx"":-3,""dy"":186,""t"":8164},{""x"":978,""y"":712,""dx"":7,""dy"":161,""t"":8197},{""x"":986,""y"":699,""dx"":15,""dy"":148,""t"":8232},{""x"":1005,""y"":665,""dx"":34,""dy"":114,""t"":8266},{""x"":990,""y"":667,""dx"":19,""dy"":116,""t"":8300},{""x"":986,""y"":658,""dx"":15,""dy"":107,""t"":8334},{""x"":974,""y"":660,""dx"":3,""dy"":109,""t"":8367},{""x"":982,""y"":689,""dx"":11,""dy"":138,""t"":8402},{""x"":994,""y"":684,""dx"":23,""dy"":133,""t"":8437},{""x"":979,""y"":650,""dx"":8,""dy"":99,""t"":8471},{""x"":965,""y"":660,""dx"":-6,""dy"":109,""t"":8504},{""x"":953,""y"":652,""dx"":-18,""dy"":101,""t"":8537},{""x"":948,""y"":648,""dx"":-23,""dy"":97,""t"":8571},{""x"":963,""y"":608,""dx"":-8,""dy"":57,""t"":8606},{""x"":1012,""y"":620,""dx"":41,""dy"":69,""t"":8640},{""x"":1019,""y"":591,""dx"":48,""dy"":40,""t"":8674},{""x"":1020,""y"":588,""dx"":49,""dy"":37,""t"":8709},{""x"":1003,""y"":587,""dx"":32,""dy"":36,""t"":8742},{""x"":1008,""y"":589,""dx"":37,""dy"":38,""t"":8776},{""x"":1050,""y"":600,""dx"":79,""dy"":49,""t"":8810},{""x"":1030,""y"":621,""dx"":59,""dy"":70,""t"":8844},{""x"":1008,""y"":643,""dx"":37,""dy"":92,""t"":8878},{""x"":1013,""y"":648,""dx"":42,""dy"":97,""t"":8912},{""x"":1015,""y"":628,""dx"":44,""dy"":77,""t"":8947},{""x"":1021,""y"":607,""dx"":50,""dy"":56,""t"":8980},{""x"":1003,""y"":629,""dx"":32,""dy"":78,""t"":9014}],[{""x"":849,""y"":1046,""dx"":358,""dy"":225,""t"":10032},{""x"":822,""y"":1023,""dx"":331,""dy"":202,""t"":10067},{""x"":792,""y"":1012,""dx"":301,""dy"":191,""t"":10103},{""x"":764,""y"":943,""dx"":273,""dy"":122,""t"":10136},{""x"":740,""y"":921,""dx"":249,""dy"":100,""t"":10169},{""x"":719,""y"":898,""dx"":228,""dy"":77,""t"":10204},{""x"":701,""y"":885,""dx"":210,""dy"":64,""t"":10238},{""x"":694,""y"":850,""dx"":203,""dy"":29,""t"":10273},{""x"":689,""y"":828,""dx"":198,""dy"":7,""t"":10305},{""x"":700,""y"":769,""dx"":209,""dy"":-52,""t"":10340},{""x"":688,""y"":735,""dx"":197,""dy"":-86,""t"":10375},{""x"":705,""y"":746,""dx"":214,""dy"":-75,""t"":10408},{""x"":708,""y"":727,""dx"":217,""dy"":-94,""t"":10441},{""x"":704,""y"":732,""dx"":213,""dy"":-89,""t"":10476},{""x"":705,""y"":734,""dx"":214,""dy"":-87,""t"":10510},{""x"":706,""y"":736,""dx"":215,""dy"":-85,""t"":10544},{""x"":729,""y"":748,""dx"":238,""dy"":-73,""t"":10579},{""x"":749,""y"":762,""dx"":258,""dy"":-59,""t"":10611},{""x"":758,""y"":780,""dx"":267,""dy"":-41,""t"":10646},{""x"":750,""y"":780,""dx"":259,""dy"":-41,""t"":10680},{""x"":769,""y"":786,""dx"":278,""dy"":-35,""t"":10714},{""x"":784,""y"":784,""dx"":293,""dy"":-37,""t"":10748},{""x"":831,""y"":802,""dx"":340,""dy"":-19,""t"":10782},{""x"":815,""y"":801,""dx"":324,""dy"":-20,""t"":10816},{""x"":773,""y"":820,""dx"":282,""dy"":-1,""t"":10850},{""x"":754,""y"":793,""dx"":263,""dy"":-28,""t"":10884},{""x"":749,""y"":768,""dx"":258,""dy"":-53,""t"":10918},{""x"":753,""y"":764,""dx"":262,""dy"":-57,""t"":10952},{""x"":718,""y"":750,""dx"":227,""dy"":-71,""t"":10986},{""x"":709,""y"":758,""dx"":218,""dy"":-63,""t"":11021},{""x"":687,""y"":762,""dx"":196,""dy"":-59,""t"":11054},{""x"":683,""y"":766,""dx"":192,""dy"":-55,""t"":11088},{""x"":677,""y"":771,""dx"":186,""dy"":-50,""t"":11122},{""x"":709,""y"":744,""dx"":218,""dy"":-77,""t"":11156},{""x"":738,""y"":721,""dx"":247,""dy"":-100,""t"":11187},{""x"":767,""y"":726,""dx"":276,""dy"":-95,""t"":11224},{""x"":806,""y"":723,""dx"":315,""dy"":-98,""t"":11258},{""x"":834,""y"":709,""dx"":343,""dy"":-112,""t"":11292},{""x"":840,""y"":757,""dx"":349,""dy"":-64,""t"":11326},{""x"":829,""y"":771,""dx"":338,""dy"":-50,""t"":11359},{""x"":831,""y"":815,""dx"":340,""dy"":-6,""t"":11393},{""x"":826,""y"":809,""dx"":335,""dy"":-12,""t"":11429},{""x"":827,""y"":795,""dx"":336,""dy"":-26,""t"":11464},{""x"":830,""y"":836,""dx"":339,""dy"":15,""t"":11496},{""x"":816,""y"":854,""dx"":325,""dy"":33,""t"":11529},{""x"":817,""y"":834,""dx"":326,""dy"":13,""t"":11564},{""x"":818,""y"":815,""dx"":327,""dy"":-6,""t"":11595},{""x"":792,""y"":801,""dx"":301,""dy"":-20,""t"":11633},{""x"":773,""y"":825,""dx"":282,""dy"":4,""t"":11666},{""x"":793,""y"":795,""dx"":302,""dy"":-26,""t"":11701},{""x"":802,""y"":812,""dx"":311,""dy"":-9,""t"":11734},{""x"":829,""y"":808,""dx"":338,""dy"":-13,""t"":11769},{""x"":822,""y"":800,""dx"":331,""dy"":-21,""t"":11802},{""x"":792,""y"":809,""dx"":301,""dy"":-12,""t"":11836},{""x"":764,""y"":774,""dx"":273,""dy"":-47,""t"":11869},{""x"":762,""y"":766,""dx"":271,""dy"":-55,""t"":11904},{""x"":767,""y"":784,""dx"":276,""dy"":-37,""t"":11938},{""x"":742,""y"":771,""dx"":251,""dy"":-50,""t"":11972},{""x"":711,""y"":758,""dx"":220,""dy"":-63,""t"":12006}],[{""x"":1276,""y"":730,""dx"":-175,""dy"":-91,""t"":13026},{""x"":1281,""y"":726,""dx"":-170,""dy"":-95,""t"":13060},{""x"":1266,""y"":720,""dx"":-185,""dy"":-101,""t"":13094},{""x"":1247,""y"":723,""dx"":-204,""dy"":-98,""t"":13128},{""x"":1268,""y"":690,""dx"":-183,""dy"":-131,""t"":13162},{""x"":1286,""y"":662,""dx"":-165,""dy"":-159,""t"":13193},{""x"":1302,""y"":633,""dx"":-149,""dy"":-188,""t"":13231},{""x"":1293,""y"":641,""dx"":-158,""dy"":-180,""t"":13264},{""x"":1295,""y"":618,""dx"":-156,""dy"":-203,""t"":13298},{""x"":1275,""y"":627,""dx"":-176,""dy"":-194,""t"":13331},{""x"":1270,""y"":658,""dx"":-181,""dy"":-163,""t"":13366},{""x"":1273,""y"":632,""dx"":-178,""dy"":-189,""t"":13413},{""x"":1262,""y"":630,""dx"":-189,""dy"":-191,""t"":13455},{""x"":1222,""y"":677,""dx"":-229,""dy"":-144,""t"":13469},{""x"":1184,""y"":713,""dx"":-267,""dy"":-108,""t"":13503},{""x"":1182,""y"":741,""dx"":-269,""dy"":-80,""t"":13536},{""x"":1190,""y"":724,""dx"":-261,""dy"":-97,""t"":13570},{""x"":1200,""y"":715,""dx"":-251,""dy"":-106,""t"":13604},{""x"":1205,""y"":698,""dx"":-246,""dy"":-123,""t"":13638},{""x"":1201,""y"":719,""dx"":-250,""dy"":-102,""t"":13672},{""x"":1200,""y"":728,""dx"":-251,""dy"":-93,""t"":13706},{""x"":1175,""y"":744,""dx"":-276,""dy"":-77,""t"":13740},{""x"":1164,""y"":755,""dx"":-287,""dy"":-66,""t"":13774},{""x"":1167,""y"":773,""dx"":-284,""dy"":-48,""t"":13808},{""x"":1169,""y"":725,""dx"":-282,""dy"":-96,""t"":13842},{""x"":1180,""y"":740,""dx"":-271,""dy"":-81,""t"":13876},{""x"":1159,""y"":751,""dx"":-292,""dy"":-70,""t"":13910},{""x"":1148,""y"":769,""dx"":-303,""dy"":-52,""t"":13944},{""x"":1129,""y"":790,""dx"":-322,""dy"":-31,""t"":13978},{""x"":1144,""y"":759,""dx"":-307,""dy"":-62,""t"":14012},{""x"":1151,""y"":738,""dx"":-300,""dy"":-83,""t"":14046},{""x"":1168,""y"":709,""dx"":-283,""dy"":-112,""t"":14080},{""x"":1144,""y"":720,""dx"":-307,""dy"":-101,""t"":14113},{""x"":1138,""y"":710,""dx"":-313,""dy"":-111,""t"":14147},{""x"":1122,""y"":729,""dx"":-329,""dy"":-92,""t"":14182},{""x"":1151,""y"":701,""dx"":-300,""dy"":-120,""t"":14216},{""x"":1161,""y"":713,""dx"":-290,""dy"":-108,""t"":14250},{""x"":1172,""y"":707,""dx"":-279,""dy"":-114,""t"":14283},{""x"":1160,""y"":735,""dx"":-291,""dy"":-86,""t"":14318},{""x"":1168,""y"":753,""dx"":-283,""dy"":-68,""t"":14353},{""x"":1142,""y"":781,""dx"":-309,""dy"":-40,""t"":14386},{""x"":1132,""y"":809,""dx"":-319,""dy"":-12,""t"":14420},{""x"":1143,""y"":810,""dx"":-308,""dy"":-11,""t"":14454},{""x"":1179,""y"":761,""dx"":-272,""dy"":-60,""t"":14487},{""x"":1181,""y"":745,""dx"":-270,""dy"":-76,""t"":14523},{""x"":1211,""y"":718,""dx"":-240,""dy"":-103,""t"":14556},{""x"":1226,""y"":724,""dx"":-225,""dy"":-97,""t"":14590},{""x"":1217,""y"":740,""dx"":-234,""dy"":-81,""t"":14624},{""x"":1241,""y"":737,""dx"":-210,""dy"":-84,""t"":14658},{""x"":1212,""y"":751,""dx"":-239,""dy"":-70,""t"":14691},{""x"":1232,""y"":746,""dx"":-219,""dy"":-75,""t"":14726},{""x"":1246,""y"":727,""dx"":-205,""dy"":-94,""t"":14758},{""x"":1247,""y"":723,""dx"":-204,""dy"":-98,""t"":14794},{""x"":1236,""y"":746,""dx"":-215,""dy"":-75,""t"":14828},{""x"":1205,""y"":754,""dx"":-246,""dy"":-67,""t"":14862},{""x"":1178,""y"":773,""dx"":-273,""dy"":-48,""t"":14896},{""x"":1175,""y"":746,""dx"":-276,""dy"":-75,""t"":14930},{""x"":1188,""y"":743,""dx"":-263,""dy"":-78,""t"":14965},{""x"":1191,""y"":733,""dx"":-260,""dy"":-88,""t"":14998},{""x"":1189,""y"":740,""dx"":-262,""dy"":-81,""t"":15032}]]","[11.864406779661017,33.89830508474576,86.66666666666667,5.084745762711865,3.3333333333333335]","[{""x"":63.3728813559322,""y"":241.61016949152543,""r"":61.823857154141436},{""x"":-145.40677966101694,""y"":158.59322033898306,""r"":42.11254602378695},{""x"":9.6,""y"":143.36666666666667,""r"":77.84991731352831},{""x"":271.89830508474574,""y"":-21.135593220338983,""r"":68.24702078494897},{""x"":-249.01666666666668,""y"":-97.11666666666666,""r"":67.26361279492}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.30","validate","","","","","","","","","","",""
"","html-button-response","9","83229","0.0-4.0-4.0-0.0-0.0","","","","","973","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","",""
